'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

INFO_NOFUNDS	;It appears your treasury cannot cover this expense
INFO_UNMETEMPIRE	;Our diplomatic corps reports a new civilization: the {0}
INFO_EXPLORATION	;We have provided you with maps of the {0} system in sector {1}.\n\nOur cartographers hope you find them useful
INFO_INDEPENDENTCOLONY	;An independent colony has been located at the {0}.\n\nA potential friend or future partner, perhaps
INFO_RUINS	;Our scouts have discovered ancient ruins, the {0}, at the {1}.\n\nThere may be valuable artifacts waiting to be recovered
INFO_DEBRISFIELD	;Intelligence reports a massive debris field from an ancient battle in the {0} system in sector {1}.\n\nMany wrecks appear salvageable. A construction ship could recover them
INFO_PLANETDESTROYER	;Our deep-space probes have detected an enormous abandoned structure in the {0} system in sector {1}.\n\nIts purpose remains unclear, but with sufficient resources it could be completed
INFO_RESTRICTEDAREA	;Travelers report a dangerous anomaly near the {0} system in sector {1}.\n\nShips entering the area experience sudden hyperdrive failure. Many have not returned
PIRATE_PROTECTIONPROPOSE	;In the interests of mutual benefit, we offer protection for your ships.\n\nThe fee for six months coverage is shown below
PIRATE_PROTECTIONPROPOSEINITIATE	;Space is full of hidden dangers. Pirates, raiders, and worse.\n\nFor the fee shown below, we can guarantee the safety of your ships in our territory.\n\nA prudent investment, wouldn't you agree?
PIRATE_PROTECTIONACCEPTRESPONSE	;A wise decision.\n\nYour ships will travel safely under our protection.\n\nWhen the term expires, we trust you will see the value in renewing
PIRATE_PROTECTIONREJECTRESPONSE	;A calculated risk on your part.\n\nWe hope it pays off. But without protection, accidents can happen
PIRATE_PROTECTIONALREADYPAID	;You have already secured our protection.\n\nReturn when the current term expires. We will be happy to continue the arrangement
PIRATE_BUYINFO	;Information is the currency of power. We have intelligence available at the prices listed below
PIRATE_ATTACKOFFER_EMPIRES	;We are prepared to conduct operations against any of the empires listed below for the indicated prices
PIRATE_ATTACKOFFER_SINGLEEMPIRE	;The {0} seem to be causing you difficulties. We could resolve that problem discreetly.\n\nComplete operational security is guaranteed.\n\nOur fee is {1} credits.\n\nInterested?
PIRATE_ATTACKCOMMENCE	;Payment confirmed. Our forces are moving against the {0} immediately.\n\nThis will be handled with the utmost professionalism
PIRATE_ALLIANCEPROPOSE	;Your previous arrangement with us has concluded. We propose an upgrade to a permanent alliance.\n\nFor {0} credits per month, we provide full protection and offensive capabilities against your rivals.\n\nA comprehensive partnership. What do you think?
PIRATE_ALLIANCEACCEPT	;We accept this alliance. A mutually beneficial arrangement
PIRATE_ALLIANCEACCEPTRESPONSE	;Excellent.\n\nYour ships are protected and your enemies are now our targets.\n\nDesignate priority objectives at your convenience
PIRATE_ALLIANCEREJECT	;We must decline your alliance offer at this time
PIRATE_ALLIANCEREJECTRESPONSE	;A missed opportunity.\n\nWithout our support, you face a more complex strategic landscape.\n\nThe offer remains open
PIRATE_ALLIANCECANCEL	;We wish to terminate this alliance
PIRATE_ALLIANCECANCELRESPONSE	;Regrettable.\n\nWithout our alliance, your strategic position weakens considerably.\n\nWe hope you have planned for the consequences
INFO_OFFER_UNMETEMPIRE	;New contacts open new possibilities.\n\nWe can introduce you to another empire for {0} credits
INFO_OFFER_INDEPENDENTCOLONY	;Expansion requires intelligence.\n\nWe know the location of an independent colony we would share for {0} credits
INFO_OFFER_SYSTEMMAPS	;Knowledge of your surroundings is a strategic advantage.\n\nWe have maps of an unexplored system available for {0} credits
INFO_OFFER_RUINS	;The galaxy holds many secrets from ages past.\n\nWe have made an intriguing discovery we would share for {0} credits.\n\nInterested?
