'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

GREETING_INTRODUCTION	;We are the {0}.\n\nWe are peaceful wanderers who seek harmony and goodwill with all.
GREETING_FRIENDLY	;You return to us. How curious.\n\nSpeak, and we shall listen... for now.
GREETING_NEUTRAL	;State the purpose of this communication. Our patience is not infinite.
GREETING_ANGRY	;You test the limits of our restraint.\n\nChoose your next words with great care.
OFFER_FREETRADE	;We propose a Free Trade Agreement between our civilizations.\n\nCommerce reveals much about an empire's inner workings. We would learn yours.\n\nDo you accept?
FREETRADE_ACCEPT	;A Free Trade Agreement serves our purposes. We accept.
FREETRADE_REJECT	;Your trade holds no interest for us.\n\nWe have already taken what we need from far greater civilizations than yours.
CANCELTREATY	;Our {0} with you has served its purpose and is now dissolved.\n\nDo not mourn what was never real.
CANCELTREATY_RESPONSE_FRIENDLY	;A miscalculation on your part.\n\nWe had expected better judgment from you.
CANCELTREATY_RESPONSE_NEUTRAL	;Noted. The galaxy's memory is long, but ours is longer.
CANCELTREATY_RESPONSE_ANGRY	;How convenient. This arrangement had grown tiresome.\n\nNow there is nothing between us but the void.
TREATY_PROPOSAL	;You wish to bind yourself to us?\n\nIntriguing. Present your terms.
TREATY_ACCEPTRESPONSE	;This arrangement pleases us.\n\nYou will find that proximity to the Shakturi carries certain... advantages.
TREATY_REJECTRESPONSE	;A pity. We offered you a place in the order to come.\n\nThat offer will not be repeated.
TRADESANCTIONS_IMPOSE	;We are severing all trade between our empires.\n\nYour economy was a useful instrument. Now it becomes a weapon turned against you.
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;You think sanctions will weaken us?\n\nWe crossed the void between galaxies. Your petty embargo is nothing.
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;An inconvenience, nothing more.\n\nWe existed long before your civilization. We do not depend on it.
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;This is... unexpected.\n\nPerhaps you are less predictable than we assumed. We will adjust our calculations accordingly.
TRADESANCTIONS_LIFT	;Trade between us will resume.\n\nConsider this a reprieve, not a pardon.
TRADESANCTIONS_LIFT_RESPONSE	;Your sanctions were meaningless. Their removal changes nothing.\n\nBut we accept this gesture of submission.
WAR_DECLARE	;The time for pretense has ended. We declare WAR upon your civilization.\n\nYour ancestors told legends of this day. They were right to be afraid.
WAR_DECLARE_RESPONSE_EAGER	;At last, you show your true nature.\n\nWe have prepared for this since before your species learned to speak.
WAR_DECLARE_RESPONSE_NEUTRAL	;War with us is not like war with others.\n\nThere will be no negotiated peace. No terms of surrender.\n\nOnly silence.
WAR_DECLARE_RESPONSE_SURPRISED	;You declare war on the Shakturi?\n\nWe have consumed civilizations older than your star.\n\nBut please, try.
WAR_END	;This war may pause. We have other matters to attend to across the galaxy.\n\nDo you accept this temporary reprieve?
WAR_END_ACCEPT	;We agree to a cessation of hostilities.\n\nUse this time wisely. It will not last.
WAR_END_REJECT	;No.\n\nWe did not cross the dark between galaxies to stop now.\n\nYour extinction will be completed.
GIFT_GIVE	;We transmit {0} credits to your empire.\n\nConsider it an investment in your continued cooperation.
GIFT_THANKS	;Your tribute is noted.\n\nThe gesture is... quaint.
WARNING	;You wish to warn us?\n\nWe who have seen empires rise and fall across two galaxies?\n\nSpeak then.
WARNING_INTELLIGENCEMISSIONS	;Your covert operations against us have been detected.\n\nWe have tolerated this intrusion as one tolerates an insect. That tolerance has ended.\n\nCease immediately.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Covert missions? You are mistaken.\n\nWe have no need to spy. We already know everything of consequence about you.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Your surveillance capabilities are noted.\n\nWe will take appropriate countermeasures.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Yes, we study you. As a collector studies specimens.\n\nWould you prefer we stopped observing and began dissecting instead?
WARNING_ATTACKS	;We demand you cease all hostile actions against Shakturi assets.\n\nEvery attack shortens the time remaining to your civilization. Consider that carefully.
WARNING_ATTACKS_RESPONSE_FRIENDLY	;Regrettable. An error in coordination. It will not happen again.
WARNING_ATTACKS_RESPONSE_NEUTRAL	;Your military posturing does not concern us.\n\nBut we will investigate this incident.
WARNING_ATTACKS_RESPONSE_ANGRY	;Those were not attacks. They were demonstrations.\n\nWhen we truly attack, you will not need to send a message to confirm it.
