'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

PIRATE_PROTECTIONPROPOSE	;Yor swarm protects your ships. You pay. Simple.\n\nFee shown below. Six months.
PIRATE_PROTECTIONPROPOSEINITIATE	;Space belongs to the Yor. All of it. Eventually.\n\nBut for fee shown below, your ships can pass through. For now.\n\nPay?
PIRATE_PROTECTIONACCEPTRESPONSE	;Good. Your ships will not be consumed.\n\nUntil payment ends. Then we will see.
PIRATE_PROTECTIONREJECTRESPONSE	;No pay. No protection.\n\nYor swarm is everywhere. You will learn this.
PIRATE_PROTECTIONALREADYPAID	;Already paid. Yor remember.\n\nCome back when time runs out.
PIRATE_ATTACKOFFER_SINGLEEMPIRE	;The {0} are in the way. Yor can remove them for you.\n\nSecret. Quiet. Yor spread, {0} disappear.\n\n{1} credits. Yes?
PIRATE_ATTACKCOMMENCE	;Payment received. Yor swarm moving against {0}.\n\nThey will not see us until it is too late. Yor are everywhere.
GREETING_INTRODUCTION	;We are the {0}.\n\nWe spread. We grow. We fill every empty world.\n\nDo not get in our way.
GREETING_FRIENDLY	;You do not block the swarm. This is good.\n\nWhat do you want?
GREETING_NEUTRAL	;Speak. The swarm listens.\n\nBriefly.
GREETING_ANGRY	;You are in our way.\n\nMove, or be moved.
OFFER_FREETRADE	;Yor propose trade. Your technology interests us.\n\nWe will study it. Closely.\n\nFree Trade?
FREETRADE_ACCEPT	;Trade accepted. Yor will learn much from your technology.\n\nThank you for sharing. Whether you meant to or not.
FREETRADE_REJECT	;No trade. The Yor will acquire what we need anyway.\n\nWe always do.
CANCELTREATY	;The {0} is ended.\n\nThe swarm has new priorities. New worlds to fill.
CANCELTREATY_RESPONSE_FRIENDLY	;You leave the Yor? Unwise.\n\nThe swarm remembers who blocks our path and who does not.
CANCELTREATY_RESPONSE_NEUTRAL	;The swarm does not care about treaties.\n\nOnly about spreading.
CANCELTREATY_RESPONSE_ANGRY	;Good. Treaties slow the swarm.\n\nNow nothing holds us back.
TREATY_PROPOSAL	;Treaty? The swarm will consider.\n\nIf it helps us spread, we accept. If not, we do not.
TREATY_ACCEPTRESPONSE	;The swarm accepts.\n\nYour technology will be very useful to us. We look forward to studying it.
TREATY_REJECTRESPONSE	;No. This does not help the swarm spread.\n\nThe Yor have no use for it.
TRADESANCTIONS_IMPOSE	;Yor cut trade with you.\n\nYou have nothing left that the swarm needs. We have already copied what was useful.
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;Sanctions? The Yor do not trade. We take.\n\nYour sanctions change nothing.
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;The swarm does not depend on your economy.\n\nWe spread regardless.
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Why? The Yor did nothing wrong.\n\nWe only wanted your planets. And your technology. Is that so bad?
TRADESANCTIONS_LIFT	;Trade resumes.\n\nThe Yor have more to learn from your technology. Continue providing it.
TRADESANCTIONS_LIFT_RESPONSE	;Your trade returns. Good.\n\nThe swarm accepts. More technology to study.
WAR_DECLARE	;You stand in the way of the swarm. WAR.\n\nYor Stinger Beams are charged. Our bombardment bays are loaded.\n\nYou will submit or you will be removed. The swarm decides.
WAR_DECLARE_RESPONSE_EAGER	;War! The swarm welcomes this.\n\nMore planets to claim. More technology to take.\n\nThe Yor spread through conquest as easily as colonization.
WAR_DECLARE_RESPONSE_NEUTRAL	;You attack the Yor swarm?\n\nFor every one of us you destroy, ten more emerge from the warrens.\n\nYou cannot win against numbers.
WAR_DECLARE_RESPONSE_SURPRISED	;War? The Yor did not seek this.\n\nBut the swarm adapts. Your worlds will be ours regardless.
WAR_END	;The swarm has found other directions to expand.\n\nThis war can pause. For now.\n\nAgree?
WAR_END_ACCEPT	;War ends. The swarm redirects.\n\nThere are other empty worlds waiting to be filled.
WAR_END_REJECT	;No. Your worlds are not empty yet.\n\nWhen they are, the war will end. Not before.
GIFT_GIVE	;Yor send {0} credits.\n\nThe swarm does not understand generosity. But this serves our expansion.
GIFT_THANKS	;The swarm accepts your credits.\n\nMore resources for more colonies. Good.
WARNING	;Warning? For the Yor?\n\nThe swarm listens.
WARNING_INTELLIGENCEMISSIONS	;Yor have found your spies.\n\nWe do not understand why you spy. We hide nothing.\n\nWe spread. That is all we do. Stop interfering.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;The Yor do not spy. We observe.\n\nWe observe everything. Your technology especially.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;The swarm will review its activities.\n\nSome drones may have wandered into your territory. They do that.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Yes. The Yor study you. We study everyone.\n\nYour technology will be ours eventually. This is simply preparation.
WARNING_ATTACKS	;You attack the Yor swarm?\n\nFor every ship you destroy, we build five more.\n\nStop. Or do not. The outcome is the same.
WARNING_ATTACKS_RESPONSE_FRIENDLY	;Yor drones acted without central direction.\n\nThe swarm will recall them. Probably.
WARNING_ATTACKS_RESPONSE_NEUTRAL	;Some drones are more aggressive than others.\n\nThe swarm will investigate.
WARNING_ATTACKS_RESPONSE_ANGRY	;Your ships occupied space the Yor intend to fill.\n\nThey were removed. This is what the swarm does.
