'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

INFO_NOFUNDS	;It seems your coffers are as dry as our desert winds. You cannot afford this
INFO_UNMETEMPIRE	;Fate brings new faces to the galaxy. The {0} have been discovered
INFO_EXPLORATION	;We have shared maps of the {0} system in sector {1} with you.\n\nMay the knowledge serve you well on the long road ahead
INFO_INDEPENDENTCOLONY	;An independent colony has been found at the {0}.\n\nPerhaps fate will draw them into our circle of friends
INFO_RUINS	;Our scouts have discovered ancient ruins, the {0}, at the {1}.\n\nThe past has much to teach those willing to listen. Perhaps something of value waits there
INFO_DEBRISFIELD	;We have learned of a great debris field from some ancient battle in the {0} system in sector {1}.\n\nEven in destruction, there is opportunity. A construction ship could salvage what remains
INFO_PLANETDESTROYER	;Our people speak of an immense abandoned structure in the {0} system in sector {1}.\n\nWhatever its purpose, fate has preserved it for a reason. With the right resources, it could be completed
INFO_RESTRICTEDAREA	;Travelers whisper of a strange zone near the {0} system in sector {1}.\n\nShips that enter find their hyperdrives failing. Many who venture in are never seen again. Fate is not kind to the reckless
PIRATE_PROTECTIONPROPOSE	;The desert teaches that shelter has value. For the fee shown below, we offer you safe passage through our territory
PIRATE_PROTECTIONPROPOSEINITIATE	;The void is as harsh and unforgiving as the deserts that raised us.\n\nFor the fee shown below, we can ensure your ships travel safely through our domain.\n\nWhat do you say?
PIRATE_PROTECTIONACCEPTRESPONSE	;A wise choice, friend.\n\nYour ships will pass through our territory without harm. This we promise.\n\nWhen the term expires, we hope you will return to us
PIRATE_PROTECTIONREJECTRESPONSE	;The desert does not care about pride.\n\nWithout our protection, we cannot guarantee your safety. Think on this
PIRATE_PROTECTIONALREADYPAID	;You have already secured our protection, friend.\n\nReturn when the current arrangement ends. We will welcome you back
PIRATE_BUYINFO	;Knowledge is survival. We can share what we know for the prices listed below
PIRATE_ATTACKOFFER_EMPIRES	;Even those who prefer peace must sometimes act through others. We can engage any of the empires listed below for the prices indicated
PIRATE_ATTACKOFFER_SINGLEEMPIRE	;The {0} seem to be troubling you. If fate wills it, we could intervene on your behalf.\n\nYour involvement would remain between us alone.\n\nOur fee for this service is {1} credits.\n\nWhat do you say?
PIRATE_ATTACKCOMMENCE	;It is done. Our ships move against the {0}.\n\nMay fate guide this to a just outcome
PIRATE_ALLIANCEPROPOSE	;Our previous arrangement has run its course. Perhaps it is time for something more lasting?\n\nFor {0} credits per month, we could protect your ships and strike at your enemies while your hands remain clean.\n\nWhat do you think?
PIRATE_ALLIANCEACCEPT	;We accept your offer of alliance. Fate has drawn our paths together
PIRATE_ALLIANCEACCEPTRESPONSE	;A fine decision.\n\nYour ships are safe with us, and your enemies will feel our presence.\n\nTell us if there is anyone you would especially like us to focus on
PIRATE_ALLIANCEREJECT	;We must decline your alliance offer
PIRATE_ALLIANCEREJECTRESPONSE	;A shame.\n\nThe desert is kinder to those who travel with companions.\n\nPerhaps you will reconsider in time
PIRATE_ALLIANCECANCEL	;We wish to end this alliance
PIRATE_ALLIANCECANCELRESPONSE	;All paths diverge eventually.\n\nBut remember, without our support your ships travel alone through dangerous space.\n\nThe offer remains open if you change your mind
INFO_OFFER_UNMETEMPIRE	;New connections are the lifeblood of civilization.\n\nWe can introduce you to another empire for {0} credits
INFO_OFFER_INDEPENDENTCOLONY	;Every colony is a seed waiting to grow.\n\nWe know the location of an independent colony we would share for {0} credits
INFO_OFFER_SYSTEMMAPS	;The desert taught us that knowing the terrain is the difference between life and death.\n\nWe have maps of an unexplored system we would sell for {0} credits
INFO_OFFER_RUINS	;The past speaks to those who search for it.\n\nWe have found something intriguing that we would share for {0} credits.\n\nInterested?
