'Distant Worlds Racial Biases - version 1.10.0.0

'determines natural bias of each race towards other races
'this bias can be either positive or negative
'maximum value is 50, minimum value is -50
'each row determines the natural bias feelings of the race named at left to all races
'  each bias value (column) in the row is how the named race feels towards the race matching the index number for the column
'  e.g. Ketarov has natural +15 bias towards other Ketarovs (race index 0), +15 bias towards Atuuk (race index 1), 0 bias towards Gizurean (race index 2), etc

'#, Name,		 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45

 0, Ketarov,-20,-40,-40,-40,-40,-40,10,-40,10,10,-40,-40,-40,-40,10,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,-10,-30,-10,-20
 1, Atuuk,10,30,10,10,10,50,10,50,10,10,50,50,50,10,10,50,10,10,10,10,10,10,10,50,10,10,10,10,10,50,10,10,10,10,10,50,50,10,10,10,10,0,-10,-30,-10,-20
 2, Gizurean,-50,-50,-30,-10,-50,-50,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-50,-10,-50,-50,-10,-50,-50,-50,-50,-10,-10,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-10,-50,-50,-50,-30,-40,-30,-40,-20
 3, Dhayut,-50,-50,-10,-30,-50,-50,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-50,-10,-50,-50,-10,-50,-50,-50,-50,-10,-10,-50,-50,-50,-50,-50,-50,-50,-10,-50,-50,-10,-50,-50,-50,-30,-40,-30,-40,-20
 4, Human,-10,-10,-10,-10,20,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,40,-10,40,-10,-10,40,-10,-10,40,-10,-10,-10,40,-10,40,-10,40,40,-10,-10,-10,-10,40,40,20,0,-10,-30,20,-20
 5, Quameno,-45,0,-45,-45,-45,-25,-45,0,-45,-45,0,0,0,-45,-45,0,-45,-45,-45,-45,-45,-45,-45,0,-45,-45,-45,-45,-45,0,-45,-45,-45,-45,-45,0,0,-45,-45,-45,-45,30,-15,-30,-15,-20
 6, Mortalen,10,-40,-40,-40,-40,-40,-20,-40,10,10,-40,-40,-40,-40,10,-40,-40,-40,-40,10,-40,-40,10,-40,-40,-40,-40,10,-40,-40,-40,10,-40,-40,-40,-40,-40,-40,-40,-40,-40,0,15,-30,-15,-20
 7, Ackdarian,-10,40,-10,-10,-10,40,-10,20,-10,-10,40,40,40,-10,-10,40,-10,-10,-10,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,40,-10,-10,-10,-10,-10,40,40,-10,-10,-10,-10,30,-10,-30,-10,-20
 8, Haakonish,0,-45,-45,-45,-45,-45,0,-45,-25,0,-45,-45,-45,-45,0,-45,-45,-45,-45,0,-45,-45,0,-45,-45,-45,-45,0,-45,-45,-45,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,-10,0,-30,-20,-20
