'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Ackdarian
PictureIndex	;7
RaceFamily	;4
ReproductionRate	;1.15
Intelligence	;115
Aggression	;70
Caution	;65
Friendliness	;130
Loyalty	;120
DesignsPictureFamilyIndex	;12
DesignNamesIndex	;6
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;20
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;1
TechFocus1	;4
TechFocus2	;17
NativePlanetType	;3
SpecialComponent	;42
WeaponsResearchProjectOrder	;33,67,51,324,330,344,34,52,482,486,318,336,327,370,35,53,319,472,322,329,275,337,371,36,633,54,325,476,68,475,37,55,529,69,338,480,281,38,531,634,339,586,56,70,340,523,587,498,635,522,537,499,545
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,478,145,116,89,107,75,280,172,127,108,160,90,487,161,109,128,146,80,173,162,91,101,117,110,81,397,103,129,398,546,401,111,547,422
HighTechResearchProjectOrder	;212,227,364,249,253,245,460,219,446,258,442,188,182,204,198,228,221,250,262,254,189,183,456,451,205,213,220,405,406,199,236,238,206,413,214,191,185,263,269,200,237,454,224,447,259,443,190,184,410,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1.2
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.4
DefaultPrimaryColor	;3
DefaultSecondaryColor	;1
DefaultFlagDesign	;16
HomeSystemName	;Ackdar
TroopStrength	;85
TroopName	;Ackdar Battalion
TroopNameArmored	;Ackdar Mechanized Brigade
TroopNamePlanetaryDefense	;Ackdar Defender
TroopNameSpecialForces	;Ackdar SpecOps Team
Resource1Type	;24
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;39
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;10
Resource3Effect	;3
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;2
Condition1Value	;33
Condition1Proportion	;50
Condition1AdditionalData	;3
Condition2Type	;3
Condition2Value	;3
Condition2Proportion	;25
Condition2AdditionalData	;3
Condition3Type	;8
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;0
Condition4Value	;0
Condition4Proportion	;0
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;1
RaceEvent1Frequency	;1
RaceEvent2Type	;2
RaceEvent2Frequency	;1
CharacterRandomAppearanceChanceLeader	;1
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.3
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1
CharacterRandomAppearanceChancePirateLeader	;1
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;2
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;0.25
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;1.33
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1
MigrationFactor	;1
TroopRegenerationFactor	;0.95
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
