Name	;Akhemal
PictureIndex	;43
RaceFamily	;6
ReproductionRate	;1.23
Intelligence	;100
Aggression	;150
Caution	;150
Friendliness	;50
Loyalty	;50
DesignsPictureFamilyIndex	;18
DesignNamesIndex	;6
ShipMaintenanceSavings	;20
TroopMaintenanceSavings	;20
ResourceExtractionBonus	;0
WarWearinessAttenuation	;20
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;3
TechFocus2	;5
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,324,330,344,293,51,22,486,328,318,336,370,294,52,23,15,472,319,527,320,371,275,295,53,45,24,16,504,68,321,528,323,296,54,46,25,21,19,506,17,69,326,490,480,281,55,47,18,590,534,530,532,525,26,20,505,591,70,481,592,56,42,510,507,536,538,474,498,43,274,509,508,44,473,441
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,104,172,160,92,75,487,280,161,108,134,146,162,80,173,93,488,397,109,139,94,81,103,398,140,117,110,548,401,101,111,549,422
HighTechResearchProjectOrder	;212,227,364,188,182,249,253,204,198,219,189,183,262,228,224,580,205,213,199,456,451,229,406,405,446,258,442,236,238,206,214,413,220,191,185,200,457,458,225,231,190,184,237,454,201,230
SpecialGovernment	;15
PreferredStartingGovernment	;15
DisallowedGovernments	;
CanChangeGovernment	;N
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.8
ShipSizeFactorMilitary	;1.2
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;11
DefaultSecondaryColor	;9
DefaultFlagDesign	;44
HomeSystemName	;Core Prime
TroopStrength	;150
TroopName	;Core A.K.
TroopNameArmored	;Core Goliath
TroopNamePlanetaryDefense	;Core Slasher
TroopNameSpecialForces	;Core Freaker
Resource1Type	;10
Resource1Effect	;3
Resource1Amount	;10
Resource1AppliesOnlyToSource	;N
Resource2Type	;9
Resource2Effect	;8
Resource2Amount	;10
Resource2AppliesOnlyToSource	;N
Resource3Type	;15
Resource3Effect	;11
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;1
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;12
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;18
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;25
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;21
RaceEvent1Frequency	;1.0
RaceEvent2Type	;16
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;0
CharacterRandomAppearanceChanceAmbassador	;0.25
CharacterRandomAppearanceChanceGovernor	;1.25
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;0.5
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;0.5
ResearchColonizationCostFactorIce	;0.75
ResearchColonizationCostFactorVolcanic	;1
ColonyConstructionSpeedFactorContinental	;1.1
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;0.75
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;1
ColonyPopulationPolicyGrowthFactorExterminate	;1
ImmuneNaturalDisastersAtColonyType	;1
SpaceportArmorStrengthFactor	;1.5
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.5
FreeTradeIncomeFactor	;0.5
MigrationFactor	;0.5
TroopRegenerationFactor	;1.5
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;Y
