'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Atuuk
PictureIndex	;1
RaceFamily	;5
ReproductionRate	;1.4
Intelligence	;50
Aggression	;130
Caution	;50
Friendliness	;140
Loyalty	;130
DesignsPictureFamilyIndex	;4
DesignNamesIndex	;12
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;10
WarWearinessAttenuation	;0
SatisfactionModifier	;40
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;10
OverallShipDesignFocus	;2
TechFocus1	;3
TechFocus2	;10
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;293,51,615,324,330,344,304,52,482,318,328,336,370,305,53,616,319,527,341,371,275,320,306,633,54,528,323,321,307,55,490,617,342,480,308,530,634,343,532,593,618,497,481,474,635,536
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,74,133,145,116,107,96,75,172,160,487,108,134,146,97,161,80,488,109,162,139,609,117,397,81,110,611,398,140,548,101,401,111,549,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,198,219,457,458,224,262,269,189,183,250,228,220,456,451,199,245,460,405,406,205,213,284,238,225,433,251,236,191,185,206,214,413,237,454,200,190,184,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;0.8
DefaultPrimaryColor	;4
DefaultSecondaryColor	;14
DefaultFlagDesign	;7
HomeSystemName	;Atuuko
TroopStrength	;65
TroopName	;Angry Hunting Party
TroopNameArmored	;Battlewagon Warriors
TroopNamePlanetaryDefense	;Catapult Team
TroopNameSpecialForces	;Scouting Party
Resource1Type	;30
Resource1Effect	;4
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;12
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;25
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;29
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;1
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;5
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;6
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;3
RaceEvent1Frequency	;1.0
RaceEvent2Type	;4
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.3
CharacterRandomAppearanceChanceScientist	;0.5
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;1.0
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1.15
MigrationFactor	;1.2
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
