'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Banoserit
PictureIndex	;38
RaceFamily	;7
ReproductionRate	;1.23
Intelligence	;95
Aggression	;95
Caution	;85
Friendliness	;115
Loyalty	;110
DesignsPictureFamilyIndex	;6
DesignNamesIndex	;11
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;10
WarWearinessAttenuation	;15
SatisfactionModifier	;15
ResearchBonus	;0
EspionageBonus	;10
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;2
TechFocus2	;21
NativePlanetType	;2
SpecialComponent	;138
WeaponsResearchProjectOrder	;6,51,67,330,344,57,324,7,52,486,318,328,327,336,370,290,553,554,53,319,527,320,322,472,329,341,337,371,275,291,54,68,321,325,55,69,480,292,608,56,70,481,498,522,272
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,107,172,96,74,116,133,145,108,92,75,487,163,173,109,134,164,71,146,93,488,165,94,103,399,130,72,117,110,400,548,131,101,552,549,111,422
HighTechResearchProjectOrder	;227,212,364,249,253,188,182,204,577,219,458,225,262,189,183,205,213,456,451,254,224,406,578,228,405,236,238,446,258,442,206,214,413,282,579,191,185,220,452,435,190,184,237,454
SpecialGovernment	;13
PreferredStartingGovernment	;13
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;50
PeriodicFactorsCaution	;50
PeriodicFactorsFriendliness	;50
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;2
DefaultSecondaryColor	;9
DefaultFlagDesign	;10
HomeSystemName	;Serecia
TroopStrength	;95
TroopName	;Banoserit Conscripts
TroopNameArmored	;Banoserit Mechanised Force
TroopNamePlanetaryDefense	;Banoserit Inteceptor Force
TroopNameSpecialForces	;Banoserit Sniper Team
Resource1Type	;26
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;34
Resource2Effect	;8
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;2
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;43
Condition1Value	;35
Condition1Proportion	;30
Condition1AdditionalData	;0
Condition2Type	;2
Condition2Value	;25
Condition2Proportion	;40
Condition2AdditionalData	;4
Condition3Type	;17
Condition3Value	;0
Condition3Proportion	;30
Condition3AdditionalData	;0
Condition4Type	;0
Condition4Value	;0
Condition4Proportion	;0
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;0
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;0.8
CharacterRandomAppearanceChanceGeneral	;0.8
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1.05
MigrationFactor	;1
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
