'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Boskara
PictureIndex	;13
RaceFamily	;2
ReproductionRate	;1.23
Intelligence	;100
Aggression	;150
Caution	;90
Friendliness	;80
Loyalty	;80
DesignsPictureFamilyIndex	;22
DesignNamesIndex	;3
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;0
WarWearinessAttenuation	;50
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;4
TechFocus2	;5
NativePlanetType	;5
SpecialComponent	;9
WeaponsResearchProjectOrder	;33,51,324,67,330,344,27,52,328,318,486,356,370,45,53,319,527,320,472,341,371,275,46,28,54,321,528,323,68,47,326,490,69,342,480,281,525,29,534,530,532,343,42,70,497,481,523,43,599,540,536,538,489,44,473,441
EnergyResearchProjectOrder	;95,123,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,172,160,92,75,487,280,161,108,134,146,162,80,173,93,488,397,81,109,139,94,398,103,117,110,401,140,101,548,111,549,422
HighTechResearchProjectOrder	;227,212,364,249,253,188,182,204,198,219,228,226,262,269,189,183,456,205,213,451,225,406,199,229,405,446,258,442,191,185,231,206,214,413,224,443,236,238,200,444,285,230,237,454,190,184,201
SpecialGovernment	;11
PreferredStartingGovernment	;11
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;16
DefaultSecondaryColor	;20
DefaultFlagDesign	;3
HomeSystemName	;Boskar
TroopStrength	;130
TroopName	;Boskaran Executioner
TroopNameArmored	;Boskaran Juggernaught
TroopNamePlanetaryDefense	;Boskaran Defense Unit
TroopNameSpecialForces	;Boskaran Demolition Team
Resource1Type	;11
Resource1Effect	;4
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;0
Resource2Effect	;5
Resource2Amount	;5
Resource2AppliesOnlyToSource	;Y
Resource3Type	;25
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;12
Condition1Value	;0
Condition1Proportion	;30
Condition1AdditionalData	;0
Condition2Type	;13
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;7
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;22
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;5
RaceEvent1Frequency	;1.0
RaceEvent2Type	;6
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.8
CharacterRandomAppearanceChanceGovernor	;0.8
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1.3
CharacterRandomAppearanceChanceScientist	;0.8
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;3
ResearchColonizationCostFactorOcean	;4
ResearchColonizationCostFactorDesert	;0.5
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;0.25
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;0.5
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;1.33
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.8
FreeTradeIncomeFactor	;0.9
MigrationFactor	;0.8
TroopRegenerationFactor	;1.2
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
