'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Caleph
PictureIndex	;31
RaceFamily	;3
ReproductionRate	;1.26
Intelligence	;90
Aggression	;123
Caution	;100
Friendliness	;87
Loyalty	;100
DesignsPictureFamilyIndex	;24
DesignNamesIndex	;5
ShipMaintenanceSavings	;30
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;30
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;4
TechFocus2	;9
NativePlanetType	;5
SpecialComponent	;-1
WeaponsResearchProjectOrder	;33,556,51,67,324,330,344,559,560,34,52,328,318,486,327,336,370,557,35,53,319,527,320,472,371,275,561,562,30,54,321,528,323,68,558,31,55,326,490,69,480,281,563,564,32,530,532,584,56,70,481,598,597,585,498,522,499,545
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,89,107,172,157,90,134,146,108,158,75,173,91,487,109,159,130,488,80,103,395,131,117,396,81,110,546,551,111,101,547,422
HighTechResearchProjectOrder	;212,227,364,219,249,253,188,182,204,198,226,262,269,189,183,456,451,225,406,199,263,425,405,446,258,442,205,213,224,238,236,259,458,206,214,413,228,429,411,200,410,237,454,201
SpecialGovernment	;-1
PreferredStartingGovernment	;1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;9
DefaultSecondaryColor	;11
DefaultFlagDesign	;0
HomeSystemName	;Calep
TroopStrength	;110
TroopName	;Caleph Strike Wing
TroopNameArmored	;Caleph Armored Wing
TroopNamePlanetaryDefense	;Caleph Suppression Wing
TroopNameSpecialForces	;Caleph Winged Commandos
Resource1Type	;14
Resource1Effect	;1
Resource1Amount	;10
Resource1AppliesOnlyToSource	;N
Resource2Type	;8
Resource2Effect	;6
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;0
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;14
Condition1Value	;2
Condition1Proportion	;30
Condition1AdditionalData	;0
Condition2Type	;21
Condition2Value	;0
Condition2Proportion	;30
Condition2AdditionalData	;0
Condition3Type	;2
Condition3Value	;33
Condition3Proportion	;40
Condition3AdditionalData	;6
Condition4Type	;0
Condition4Value	;0
Condition4Proportion	;0
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;0
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;0.9
CharacterRandomAppearanceChanceAdmiral	;1.2
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;0.8
CharacterRandomAppearanceChanceIntelligenceAgent	;0.8
CharacterRandomAppearanceChanceShipCaptain	;1.8
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;51
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;51
CharacterStartingTraitPirateLeader	;51
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;3
ResearchColonizationCostFactorOcean	;4
ResearchColonizationCostFactorDesert	;0.5
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;0.25
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;0.5
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;1.33
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;6
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.9
FreeTradeIncomeFactor	;1
MigrationFactor	;0.9
TroopRegenerationFactor	;1.1
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
