Name	;Dessen
RaceType;1
PictureIndex	;25
RaceFamily	;4
ReproductionRate	;1.15
Intelligence	;115
Aggression	;85
Caution	;80
Friendliness	;105
Loyalty	;115
DesignsPictureFamilyIndex	;21
DesignNamesIndex	;0
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;10
WarWearinessAttenuation	;0
SatisfactionModifier	;10
ResearchBonus	;20
EspionageBonus	;30
TradeBonus	;15
OverallShipDesignFocus	;0
TechFocus1	;3
TechFocus2	;22
NativePlanetType	;3
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,293,51,22,304,52,15,23,324,330,344,486,305,53,24,504,16,318,328,327,336,370,306,54,25,17,506,21,19,319,527,320,472,322,329,371,275,341,337,307,68,55,18,480,528,69,490,308,26,505,20,56,70,481,593,507,510,498,274,508,509,473
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,124,133,145,116,107,172,163,89,75,487,108,164,90,71,173,488,109,134,165,146,91,72,117,110,399,130,546,400,101,103,552,131,174,111,547,422
HighTechResearchProjectOrder	;212,204,227,364,249,253,188,182,219,198,446,258,442,457,458,205,213,245,460,221,189,183,199,206,413,214,583,228,406,405,220,215,191,185,200,236,238,232,190,184,284,207,237,454,224,410,201
SpecialGovernment	;14
PreferredStartingGovernment	;14
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;1
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;1
DefaultSecondaryColor	;3
DefaultFlagDesign	;37
HomeSystemName	;Azul
TroopStrength	;90
TroopName	;Lipid Host Battalion
TroopNameArmored	;Lipid Armored Host
TroopNamePlanetaryDefense	;Lipid Host Defense
TroopNameSpecialForces	;Lipid Host SpecOps
Resource1Type	;3
Resource1Effect	;2
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;15
Resource2Effect	;6
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;21
Resource3Effect	;8
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;6
Condition1Value	;0
Condition1Proportion	;20
Condition1AdditionalData	;0
Condition2Type	;19
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;20
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;0
Condition4Type	;2
Condition4Value	;25
Condition4Proportion	;20
Condition4AdditionalData	;3
Condition5Type	;3
Condition5Value	;3
Condition5Proportion	;20
Condition5AdditionalData	;3
RaceEvent1Type	;1
RaceEvent1Frequency	;1.0
RaceEvent2Type	;29
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;0.5
CharacterRandomAppearanceChanceAmbassador	;1.3
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.3
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;0.25
ResearchColonizationCostFactorDesert	;3.0
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;1.33
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.9
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.8
FreeTradeIncomeFactor	;1
MigrationFactor	;1.5
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
