'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Dhayut
PictureIndex	;3
RaceFamily	;2
ReproductionRate	;1.19
Intelligence	;105
Aggression	;140
Caution	;95
Friendliness	;70
Loyalty	;90
DesignsPictureFamilyIndex	;3
DesignNamesIndex	;2
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;40
SatisfactionModifier	;0
ResearchBonus	;10
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;3
TechFocus2	;15
NativePlanetType	;2
SpecialComponent	;52
WeaponsResearchProjectOrder	;67,293,51,324,330,344,486,304,52,318,336,328,327,370,472,305,53,45,319,527,320,322,329,371,275,68,306,54,46,321,528,323,475,476,69,307,55,47,490,480,281,308,525,530,532,70,593,42,481,474,536,538,473
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,154,155,96,74,133,145,116,116,107,172,75,92,156,280,487,108,134,402,80,173,93,403,146,139,488,404,81,109,94,103,140,601,117,110,548,101,602,111,549
HighTechResearchProjectOrder	;212,227,364,188,182,249,253,219,204,198,189,183,262,269,228,225,205,213,199,456,451,229,406,405,446,258,442,206,214,413,236,238,224,200,191,185,457,458,237,454,220,231,190,184,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;5
PeriodicChangeLength	;2
PeriodicFactorsGrowth	;1.28
PeriodicFactorsAggression	;133
PeriodicFactorsCaution	;95
PeriodicFactorsFriendliness	;65
PeriodicChangeCycleEvent	;8
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;10
DefaultSecondaryColor	;20
DefaultFlagDesign	;36
HomeSystemName	;Dhayu
TroopStrength	;120
TroopName	;Dhayut Mercenary Trooper
TroopNameArmored	;Dhayut BattleSpider
TroopNamePlanetaryDefense	;Dhayut Defense Unit
TroopNameSpecialForces	;Dhayut Commando Team
Resource1Type	;26
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;7
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;2
Resource3Effect	;4
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;1
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;21
Condition2Value	;0
Condition2Proportion	;50
Condition2AdditionalData	;0
Condition3Type	;23
Condition3Value	;25
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;0
Condition4Value	;0
Condition4Proportion	;0
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;7
RaceEvent1Frequency	;1.0
RaceEvent2Type	;8
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1
CharacterRandomAppearanceChanceAmbassador	;0.7
CharacterRandomAppearanceChanceGovernor	;1
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.75
FreeTradeIncomeFactor	;1
MigrationFactor	;1
TroopRegenerationFactor	;1.05
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
