'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Enton
PictureIndex	;24
RaceFamily	;0
ReproductionRate	;1.15
Intelligence	;120
Aggression	;60
Caution	;115
Friendliness	;100
Loyalty	;105
DesignsPictureFamilyIndex	;5
DesignNamesIndex	;8
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;20
EspionageBonus	;20
TradeBonus	;20
OverallShipDesignFocus	;1
TechFocus1	;26
TechFocus2	;7
NativePlanetType	;0
SpecialComponent	;134
WeaponsResearchProjectOrder	;67,346,22,51,324,330,344,57,486,347,309,23,52,318,327,336,370,472,348,553,555,355,24,53,319,322,329,337,371,275,68,349,356,25,54,325,476,475,69,352,357,55,529,338,480,350,353,358,26,533,531,339,70,636,56,340,481,522,354,274,498,539,537
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,124,116,107,172,89,75,157,487,108,134,146,158,80,173,90,159,130,488,109,395,131,91,103,117,396,81,110,546,551,101,111,547,422
HighTechResearchProjectOrder	;212,204,219,227,364,249,253,188,182,198,262,269,576,245,460,446,258,442,205,213,224,457,458,189,183,199,206,214,413,406,405,220,250,254,236,238,200,215,191,185,282,190,184,225,237,454,284,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1.1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;1
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;2
DefaultSecondaryColor	;20
DefaultFlagDesign	;22
HomeSystemName	;Entopia
TroopStrength	;115
TroopName	;Enton Strike Troopers
TroopNameArmored	;Enton Armored Brigade
TroopNamePlanetaryDefense	;Enton Repulsers
TroopNameSpecialForces	;Enton SpecOps Force
Resource1Type	;21
Resource1Effect	;6
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;9
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;23
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;53
Condition1Value	;100
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;19
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;48
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;30
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;29
RaceEvent1Frequency	;1.0
RaceEvent2Type	;17
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1.3
CharacterRandomAppearanceChanceIntelligenceAgent	;1.3
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;1
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.1
MigrationFactor	;1
TroopRegenerationFactor	;0.75
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
