'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Gizurean
PictureIndex	;2
RaceFamily	;2
ReproductionRate	;1.3
Intelligence	;75
Aggression	;140
Caution	;125
Friendliness	;75
Loyalty	;85
DesignsPictureFamilyIndex	;25
DesignNamesIndex	;7
ShipMaintenanceSavings	;45
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;1
TechFocus1	;1
TechFocus2	;5
NativePlanetType	;5
SpecialComponent	;-1
WeaponsResearchProjectOrder	;6,51,67,324,330,344,7,52,482,318,328,486,336,370,12,45,53,319,527,320,472,371,275,13,633,46,54,321,528,323,68,47,525,55,490,69,480,14,634,530,532,607,42,56,70,481,635,272,43,498,536,538,473,273,44
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,172,92,160,75,487,280,108,161,134,146,173,93,488,162,80,109,139,94,397,117,103,110,81,548,398,140,101,401,111,549,422
HighTechResearchProjectOrder	;212,219,227,364,249,253,188,182,457,204,198,226,262,269,189,250,183,456,451,225,228,409,433,205,213,406,199,263,405,446,258,434,442,206,214,413,232,236,238,224,252,200,191,185,233,237,223,190,184,410,377,286,237,454,201,391,392
SpecialGovernment	;11
PreferredStartingGovernment	;11
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;7
PeriodicChangeLength	;2
PeriodicFactorsGrowth	;1.47
PeriodicFactorsAggression	;110
PeriodicFactorsCaution	;116
PeriodicFactorsFriendliness	;70
PeriodicChangeCycleEvent	;10
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.15
DefaultPrimaryColor	;8
DefaultSecondaryColor	;11
DefaultFlagDesign	;38
HomeSystemName	;Gizurea
TroopStrength	;90
TroopName	;Gizurean War Swarm
TroopNameArmored	;Gizurean Battle Swarm
TroopNamePlanetaryDefense	;Gizurean Defense Unit
TroopNameSpecialForces	;Gizurean Raiders
Resource1Type	;1
Resource1Effect	;4
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;15
Resource2Effect	;2
Resource2Amount	;10
Resource2AppliesOnlyToSource	;N
Resource3Type	;-1
Resource3Effect	;0
Resource3Amount	;0
Resource3AppliesOnlyToSource	;N
Condition1Type	;47
Condition1Value	;0
Condition1Proportion	;20
Condition1AdditionalData	;0
Condition2Type	;24
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;21
Condition3Type	;25
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;0
Condition4Type	;2
Condition4Value	;33
Condition4Proportion	;20
Condition4AdditionalData	;6
Condition5Type	;56
Condition5Value	;0
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;9
RaceEvent1Frequency	;1.0
RaceEvent2Type	;10
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;0
CharacterRandomAppearanceChanceAmbassador	;0.5
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.3
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;3
ResearchColonizationCostFactorOcean	;4
ResearchColonizationCostFactorDesert	;0.5
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;0.25
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;0.5
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;1.33
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1
MigrationFactor	;1.05
TroopRegenerationFactor	;1.05
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
