'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Haakonish
PictureIndex	;8
RaceFamily	;3
ReproductionRate	;1.17
Intelligence	;115
Aggression	;113
Caution	;100
Friendliness	;84
Loyalty	;88
DesignsPictureFamilyIndex	;0
DesignNamesIndex	;13
ShipMaintenanceSavings	;20
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;10
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;10
EspionageBonus	;20
TradeBonus	;10
OverallShipDesignFocus	;0
TechFocus1	;7
TechFocus2	;26
NativePlanetType	;1
SpecialComponent	;67
WeaponsResearchProjectOrder	;67,346,22,51,324,330,344,486,347,23,309,52,318,328,327,336,370,472,348,24,355,53,319,527,320,322,329,341,337,371,275,68,349,25,310,54,321,325,528,475,69,352,311,55,490,480,281,350,26,358,636,56,70,481,522,498,354
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,172,89,163,75,134,146,487,164,108,280,173,90,165,71,130,488,109,91,103,399,131,72,117,110,546,400,101,552,111,547,422
HighTechResearchProjectOrder	;212,204,219,227,364,249,253,446,258,442,262,269,188,182,245,460,198,456,205,213,220,425,189,183,199,236,234,214,206,413,426,406,405,450,224,200,215,191,185,184,207,283,225,190,201
SpecialGovernment	;9
PreferredStartingGovernment	;9
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1.1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;1
ConstructionSpeedFactor	;0.9
DefaultPrimaryColor	;14
DefaultSecondaryColor	;12
DefaultFlagDesign	;31
HomeSystemName	;Haako
TroopStrength	;120
TroopName	;Haakonish Battlematon
TroopNameArmored	;Haakonish Battle Mecha
TroopNamePlanetaryDefense	;Haakonish Interceptor Unit
TroopNameSpecialForces	;Haakonish Reconnaissance Scouts
Resource1Type	;36
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;16
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;21
Resource3Effect	;10
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;33
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;19
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;20
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;37
Condition4Value	;1
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;11
RaceEvent1Frequency	;1.0
RaceEvent2Type	;12
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1
CharacterRandomAppearanceChanceAmbassador	;0.8
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1.2
CharacterRandomAppearanceChanceIntelligenceAgent	;1.2
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.9
FreeTradeIncomeFactor	;0.9
MigrationFactor	;0.9
TroopRegenerationFactor	;1.1
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
