'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Human
PictureIndex	;4
RaceFamily	;0
ReproductionRate	;1.19
Intelligence	;100
Aggression	;100
Caution	;100
Friendliness	;100
Loyalty	;100
DesignsPictureFamilyIndex	;6
DesignNamesIndex	;0
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;15
EspionageBonus	;15
TradeBonus	;30
OverallShipDesignFocus	;0
TechFocus1	;6
TechFocus2	;15
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,48,624,324,330,6,344,57,486,485,482,7,553,555,318,336,370,328,327,472,49,625,511,3,12,45,319,371,275,527,329,68,50,512,4,13,321,528,475,69,297,526,9,626,490,326,480,281,299,513,10,70,300,11,627,481,522,637,632,514
EnergyResearchProjectOrder	;95,123,105,363,166,465,477,479,115,106,133,167,501,107,124,145,96,74,116,108,157,89,75,172,158,90,487,280,109,134,146,173,159,92,488,71,93,395,130,174,117,110,98,72,103,396,131,101,99,551,111,100,422
HighTechResearchProjectOrder	;212,204,227,364,249,253,262,269,219,188,182,198,205,213,245,460,224,425,456,451,189,183,199,214,206,413,406,405,426,263,220,200,236,238,215,191,185,283,190,184,207,237,454,225,201,410
SpecialGovernment	;12
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;1
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;1
DefaultSecondaryColor	;20
DefaultFlagDesign	;18
HomeSystemName	;Sol
TroopStrength	;115
TroopName	;Strike Trooper Battalion
TroopNameArmored	;Armored Attack Force
TroopNamePlanetaryDefense	;Defense Group
TroopNameSpecialForces	;Special Operations Team
Resource1Type	;40
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;0
Resource2Effect	;4
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;14
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;35
Condition1Value	;0
Condition1Proportion	;15
Condition1AdditionalData	;0
Condition2Type	;34
Condition2Value	;0
Condition2Proportion	;15
Condition2AdditionalData	;0
Condition3Type	;42
Condition3Value	;15
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;2
Condition4Value	;33
Condition4Proportion	;25
Condition4AdditionalData	;1
Condition5Type	;14
Condition5Value	;1
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;13
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1
CharacterRandomAppearanceChanceAmbassador	;1.3
CharacterRandomAppearanceChanceGovernor	;1.3
CharacterRandomAppearanceChanceAdmiral	;0.8
CharacterRandomAppearanceChanceGeneral	;0.8
CharacterRandomAppearanceChanceScientist	;1.15
CharacterRandomAppearanceChanceIntelligenceAgent	;1.3
CharacterRandomAppearanceChanceShipCaptain	;1
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;1
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;1.0
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;0.67
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.85
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1.0
MigrationFactor	;1.0
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
