'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Jintus
PictureIndex	;29
RaceFamily	;5
ReproductionRate	;1.37
Intelligence	;60
Aggression	;130
Caution	;80
Friendliness	;130
Loyalty	;100
DesignsPictureFamilyIndex	;7
DesignNamesIndex	;2
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;20
WarWearinessAttenuation	;0
SatisfactionModifier	;20
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;20
OverallShipDesignFocus	;3
TechFocus1	;3
TechFocus2	;10
NativePlanetType	;4
SpecialComponent	;-1
WeaponsResearchProjectOrder	;293,615,324,330,294,57,344,51,52,318,328,336,370,295,53,616,319,527,341,371,275,320,553,555,296,54,528,323,321,590,55,490,617,342,591,480,530,343,532,592,618,497,481,474,536
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,124,167,501,96,74,133,145,163,116,107,172,75,89,164,487,108,173,134,71,165,90,488,109,146,399,91,130,72,103,117,400,110,546,552,131,101,111,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,198,245,460,262,269,222,456,451,425,205,199,446,258,442,221,213,426,457,458,236,214,238,206,189,183,413,200,283,224,191,185,237,454,190,184,201
SpecialGovernment	;9
PreferredStartingGovernment	;0
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.1
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;13
DefaultSecondaryColor	;20
DefaultFlagDesign	;2
HomeSystemName	;Ugnar
TroopStrength	;65
TroopName	;Jintus Strike Swarm
TroopNameArmored	;Jintus Armored Swarm
TroopNamePlanetaryDefense	;Jintus Flak Unit
TroopNameSpecialForces	;Jintus Recon Squad
Resource1Type	;31
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;11
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;7
Resource3Effect	;7
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;17
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;50
Condition2Value	;0
Condition2Proportion	;15
Condition2AdditionalData	;0
Condition3Type	;47
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;42
Condition4Value	;15
Condition4Proportion	;35
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;22
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.9
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;0.9
CharacterRandomAppearanceChanceGeneral	;0.9
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;1
ResearchColonizationCostFactorDesert	;2
ResearchColonizationCostFactorIce	;0.25
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1.33
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.1
FreeTradeIncomeFactor	;1.15
MigrationFactor	;1.1
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
