'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Keskudon
PictureIndex	;22
RaceFamily	;3
ReproductionRate	;1.19
Intelligence	;105
Aggression	;150
Caution	;100
Friendliness	;75
Loyalty	;70
DesignsPictureFamilyIndex	;16
DesignNamesIndex	;5
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;20
ResourceExtractionBonus	;0
WarWearinessAttenuation	;50
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;4
TechFocus2	;5
NativePlanetType	;5
SpecialComponent	;132
WeaponsResearchProjectOrder	;67,33,51,344,324,330,486,34,15,482,52,318,328,336,370,472,35,16,45,53,319,527,322,371,275,68,39,506,633,46,54,321,528,323,69,40,18,55,47,326,490,480,281,41,525,634,530,532,70,588,507,42,56,481,589,509,635,43,498,536,538,473,44,499,441,545
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,571,133,145,116,107,160,92,572,172,487,108,161,93,134,146,573,173,488,109,162,139,94,103,117,110,397,603,548,398,604,140,111,401,101,549,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,198,228,262,189,183,245,460,456,226,213,451,205,406,229,199,263,405,225,446,258,442,231,206,214,413,236,238,191,185,200,224,230,237,454,190,184,201
SpecialGovernment	;7
PreferredStartingGovernment	;7
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;10
DefaultSecondaryColor	;3
DefaultFlagDesign	;21
HomeSystemName	;Kesukaa
TroopStrength	;145
TroopName	;Keskudon Enslavers
TroopNameArmored	;Keskudon Armored Enslavers
TroopNamePlanetaryDefense	;Keskudon Defenders
TroopNameSpecialForces	;Keskudon Death Squad
Resource1Type	;22
Resource1Effect	;4
Resource1Amount	;40
Resource1AppliesOnlyToSource	;Y
Resource2Type	;20
Resource2Effect	;9
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;9
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;13
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;49
Condition2Value	;0
Condition2Proportion	;15
Condition2AdditionalData	;0
Condition3Type	;46
Condition3Value	;0
Condition3Proportion	;10
Condition3AdditionalData	;0
Condition4Type	;28
Condition4Value	;0
Condition4Proportion	;20
Condition4AdditionalData	;0
Condition5Type	;22
Condition5Value	;0
Condition5Proportion	;30
Condition5AdditionalData	;0
RaceEvent1Type	;12
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.6
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1.9
CharacterRandomAppearanceChanceScientist	;0.8
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;21
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1.0
ResearchColonizationCostFactorMarshySwamp	;3
ResearchColonizationCostFactorOcean	;4
ResearchColonizationCostFactorDesert	;0.5
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;0.25
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;0.5
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1
ColonyConstructionSpeedFactorVolcanic	;1.33
ColonyPopulationPolicyGrowthFactorExterminate	;1.1
ImmuneNaturalDisastersAtColonyType	;6
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.55
FreeTradeIncomeFactor	;0.8
MigrationFactor	;1
TroopRegenerationFactor	;1.2
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
