'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Ketarov
PictureIndex	;0
RaceFamily	;1
ReproductionRate	;1.19
Intelligence	;115
Aggression	;60
Caution	;150
Friendliness	;90
Loyalty	;85
DesignsPictureFamilyIndex	;9
DesignNamesIndex	;1
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;50
TradeBonus	;10
OverallShipDesignFocus	;0
TechFocus1	;7
TechFocus2	;26
NativePlanetType	;1
SpecialComponent	;-1
WeaponsResearchProjectOrder	;346,22,67,51,324,330,344,57,486,309,23,347,52,318,327,336,370,351,355,24,348,472,53,319,322,329,337,371,275,68,54,553,554,629,349,25,310,325,476,475,69,357,55,490,338,480,350,26,358,533,531,70,481,56,636,274,498,522,537
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,133,167,501,124,107,145,96,74,116,157,89,172,108,280,487,158,550,134,146,75,90,109,488,159,71,91,130,103,395,125,117,110,546,396,101,72,551,111,547,422
HighTechResearchProjectOrder	;212,204,227,364,249,253,219,262,269,446,258,442,188,182,458,198,245,460,205,213,220,456,228,189,183,199,254,214,406,405,206,413,224,425,229,236,238,232,215,191,185,282,200,190,184,207,221,237,454,201,415,410
SpecialGovernment	;12
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;3
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;5
DefaultSecondaryColor	;9
DefaultFlagDesign	;6
HomeSystemName	;Ketaros
TroopStrength	;70
TroopName	;Ketarov Battle Group
TroopNameArmored	;Ketarov Intruder Force
TroopNamePlanetaryDefense	;Ketarov Defense Unit
TroopNameSpecialForces	;Ketarov Sabotage Team
Resource1Type	;23
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;17
Resource2Effect	;11
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;27
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;44
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;19
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;20
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;39
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;15
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;0.8
CharacterRandomAppearanceChanceIntelligenceAgent	;1.7
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.1
FreeTradeIncomeFactor	;1.1
MigrationFactor	;1.0
TroopRegenerationFactor	;1.1
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
