Name	;Khemal
PictureIndex	;44
RaceFamily	;0
ReproductionRate	;1.19
Intelligence	;105
Aggression	;115
Caution	;115
Friendliness	;90
Loyalty	;75
DesignsPictureFamilyIndex	;17
DesignNamesIndex	;0
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;0
WarWearinessAttenuation	;10
SatisfactionModifier	;0
ResearchBonus	;10
EspionageBonus	;10
TradeBonus	;10
OverallShipDesignFocus	;1
TechFocus1	;4
TechFocus2	;25
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;33,67,624,57,324,330,344,486,34,313,318,328,336,370,553,554,472,35,331,314,332,625,319,320,527,371,275,68,39,333,334,321,528,323,69,40,315,626,490,480,281,41,335,524,70,588,316,627,481,523,589,499,496,473,545
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,133,167,501,107,96,74,145,116,172,160,75,92,487,108,104,161,93,109,80,173,162,134,146,488,397,94,103,81,117,110,139,398,548,101,401,140,111,549,422
HighTechResearchProjectOrder	;212,204,227,364,249,253,219,188,182,198,446,258,442,245,460,262,269,205,213,224,189,183,199,228,214,206,413,406,405,456,220,236,238,215,191,185,200,447,259,443,190,184,207,237,454,225,201,448,429,444
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;8
DefaultSecondaryColor	;11
DefaultFlagDesign	;45
HomeSystemName	;Elysium
TroopStrength	;110
TroopName	;Arm Warrior
TroopNameArmored	;Arm Fido
TroopNamePlanetaryDefense	;Arm York
TroopNameSpecialForces	;Arm Zipper
Resource1Type	;34
Resource1Effect	;10
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;3
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;14
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;2
Condition1Value	;25
Condition1Proportion	;15
Condition1AdditionalData	;1
Condition2Type	;9
Condition2Value	;0
Condition2Proportion	;15
Condition2AdditionalData	;0
Condition3Type	;32
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;3
Condition4Type	;36
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;14
Condition5Value	;1
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;13
RaceEvent1Frequency	;1.0
RaceEvent2Type	;6
RaceEvent2Frequency	;1
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.1
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1.1
CharacterRandomAppearanceChanceIntelligenceAgent	;1.1
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.75
ResearchColonizationCostFactorOcean	;1.25
ResearchColonizationCostFactorDesert	;1
ResearchColonizationCostFactorIce	;1.25
ResearchColonizationCostFactorVolcanic	;1.75
ColonyConstructionSpeedFactorContinental	;1.1
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;1.0
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1
ColonyConstructionSpeedFactorVolcanic	;1
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1.0
MigrationFactor	;0.9
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
