'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Kiadian
PictureIndex	;16
RaceFamily	;0
ReproductionRate	;1.14
Intelligence	;130
Aggression	;50
Caution	;55
Friendliness	;125
Loyalty	;140
DesignsPictureFamilyIndex	;30
DesignNamesIndex	;8
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;20
EspionageBonus	;0
TradeBonus	;10
OverallShipDesignFocus	;1
TechFocus1	;4
TechFocus2	;15
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;33,51,67,6,324,330,344,486,52,34,7,318,327,336,370,472,53,35,290,319,322,329,341,371,275,68,54,36,291,325,475,69,55,37,342,480,38,531,292,343,70,56,586,497,481,608,522,537,587,498,499
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,157,133,145,75,116,107,172,89,158,487,134,146,90,108,487,80,159,130,91,103,488,109,395,131,546,174,396,117,110,81,551,101,111,547,422
HighTechResearchProjectOrder	;212,227,364,249,253,446,258,442,219,188,182,204,198,213,224,262,269,205,189,178,245,460,456,447,259,443,451,406,179,220,199,429,206,214,413,236,238,200,191,180,263,190,184,411,237,454,221,181,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;0
DefaultSecondaryColor	;3
DefaultFlagDesign	;13
HomeSystemName	;Kiadia
TroopStrength	;115
TroopName	;Kiadian Strike Trooper
TroopNameArmored	;Kiadian Armored Brigade
TroopNamePlanetaryDefense	;Kiadian Repulsers
TroopNameSpecialForces	;Kiadian SpecOps Force
Resource1Type	;34
Resource1Effect	;6
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;16
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;25
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;45
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;50
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;51
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;30
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;16
RaceEvent1Frequency	;1.0
RaceEvent2Type	;17
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;0.7
CharacterRandomAppearanceChanceScientist	;1.3
CharacterRandomAppearanceChanceIntelligenceAgent	;1.2
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;1
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.8
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.05
MigrationFactor	;1.0
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
