'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Lemeresh
PictureIndex	;36
RaceFamily	;4
ReproductionRate	;1.15
Intelligence	;130
Aggression	;75
Caution	;120
Friendliness	;75
Loyalty	;100
DesignsPictureFamilyIndex	;13
DesignNamesIndex	;4
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;20
SatisfactionModifier	;10
ResearchBonus	;20
EspionageBonus	;20
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;2
TechFocus2	;11
NativePlanetType	;3
SpecialComponent	;25
WeaponsResearchProjectOrder	;620,6,22,51,324,330,344,7,15,23,52,318,327,336,370,621,290,504,16,24,45,53,319,472,322,341,371,329,275,68,54,301,17,506,19,21,25,46,475,325,476,69,18,55,480,47,302,505,20,26,70,481,56,303,525,507,510,274,522,274,272,498,42
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,124,160,116,107,172,92,75,161,487,108,93,173,80,134,162,146,488,109,94,103,397,139,117,110,548,174,398,140,81,101,401,111,549,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,198,245,460,221,446,258,442,262,269,228,189,183,457,458,220,456,451,220,447,259,443,229,406,405,205,213,199,236,238,263,232,206,214,413,224,448,200,191,185,237,454,412,190,184,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1.2
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;1
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;0
DefaultSecondaryColor	;19
DefaultFlagDesign	;5
HomeSystemName	;Lemoran
TroopStrength	;100
TroopName	;Lemeresh Troopers
TroopNameArmored	;Lemeresh Assault Craft
TroopNamePlanetaryDefense	;Lemeresh Defense Craft
TroopNameSpecialForces	;Lemeresh Covert Ops Team
Resource1Type	;3
Resource1Effect	;2
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;16
Resource2Effect	;3
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;9
Resource3Effect	;7
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;46
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;44
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;14
Condition3Value	;3
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;2
Condition4Value	;33
Condition4Proportion	;25
Condition4AdditionalData	;3
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;28
RaceEvent1Frequency	;1.0
RaceEvent2Type	;21
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.6
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;2
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;0.25
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;1.33
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.85
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1.05
MigrationFactor	;1.0
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
