'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Mechanoid
PictureIndex	;21
RaceFamily	;6
ReproductionRate	;1.17
Intelligence	;130
Aggression	;50
Caution	;125
Friendliness	;70
Loyalty	;126
DesignsPictureFamilyIndex	;10
DesignNamesIndex	;6
ShipMaintenanceSavings	;20
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;100
SatisfactionModifier	;50
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;0
TechFocus2	;0
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;
EnergyResearchProjectOrder	;
HighTechResearchProjectOrder	;
SpecialGovernment	;6
PreferredStartingGovernment	;6
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;N
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;N
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;21
DefaultSecondaryColor	;4
DefaultFlagDesign	;39
HomeSystemName	;Utopia
TroopStrength	;85
TroopName	;Mechanoid Guardian
TroopNameArmored	;Mechanoid Armor
TroopNamePlanetaryDefense	;Mechanoid Defense Unit
TroopNameSpecialForces	;Mechanoid Special Forces
Resource1Type	;-1
Resource1Effect	;0
Resource1Amount	;0
Resource1AppliesOnlyToSource	;N
Resource2Type	;-1
Resource2Effect	;0
Resource2Amount	;0
Resource2AppliesOnlyToSource	;N
Resource3Type	;-1
Resource3Effect	;0
Resource3Amount	;0
Resource3AppliesOnlyToSource	;N
Condition1Type	;0
Condition1Value	;0
Condition1Proportion	;20
Condition1AdditionalData	;0
Condition2Type	;0
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;0
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;0
Condition4Type	;0
Condition4Value	;0
Condition4Proportion	;20
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;0
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;3
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;0.5
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;1
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;1
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.0
MigrationFactor	;1
TroopRegenerationFactor	;1.15
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;10
ImmuneToPlagues	;Y
