'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Mortalen
PictureIndex	;6
RaceFamily	;3
ReproductionRate	;1.23
Intelligence	;100
Aggression	;122
Caution	;113
Friendliness	;80
Loyalty	;85
DesignsPictureFamilyIndex	;27
DesignNamesIndex	;5
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;20
ResourceExtractionBonus	;0
WarWearinessAttenuation	;30
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;6
TechFocus2	;9
NativePlanetType	;2
SpecialComponent	;46
WeaponsResearchProjectOrder	;67,48,57,51,324,330,344,486,485,553,555,52,318,336,370,328,472,511,63,45,276,60,53,319,371,275,527,320,68,512,64,46,277,54,323,528,69,526,65,47,278,439,55,490,480,281,513,66,279,532,530,70,56,481,523,598,483,498,538,536,473,514
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,151,116,107,280,172,160,92,134,152,75,487,108,173,161,93,153,488,109,162,94,103,174,139,397,80,117,110,548,398,140,393,101,401,81,111,549,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,198,446,258,442,225,262,269,228,189,183,457,205,213,456,229,451,224,406,199,206,214,413,263,405,231,220,236,238,200,191,185,245,460,230,237,454,190,184,390,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1.1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;11
DefaultSecondaryColor	;14
DefaultFlagDesign	;12
HomeSystemName	;Mortalu
TroopStrength	;150
TroopName	;Mortalen Conqueror
TroopNameArmored	;Mortalen Armored Conqueror
TroopNamePlanetaryDefense	;Mortalen Repulser Unit
TroopNameSpecialForces	;Mortalen Tactical Commandos
Resource1Type	;32
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;26
Resource2Effect	;9
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;9
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;49
Condition1Value	;0
Condition1Proportion	;10
Condition1AdditionalData	;0
Condition2Type	;13
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;21
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;0
Condition4Type	;27
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;28
Condition5Value	;0
Condition5Proportion	;25
Condition5AdditionalData	;0
RaceEvent1Type	;18
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.7
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1.7
CharacterRandomAppearanceChanceScientist	;0.7
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.9
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.9
FreeTradeIncomeFactor	;1.0
MigrationFactor	;0.8
TroopRegenerationFactor	;1.05
PirateDefaultPlaystyle	;4
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
