'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Napoar
PictureIndex	;30
RaceFamily	;6
ReproductionRate	;1.26
Intelligence	;85
Aggression	;60
Caution	;120
Friendliness	;105
Loyalty	;130
DesignsPictureFamilyIndex	;28
DesignNamesIndex	;6
ShipMaintenanceSavings	;5
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;10
WarWearinessAttenuation	;0
SatisfactionModifier	;20
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;25
OverallShipDesignFocus	;0
TechFocus1	;6
TechFocus2	;9
NativePlanetType	;5
SpecialComponent	;-1
WeaponsResearchProjectOrder	;57,48,51,324,67,330,344,370,336,327,486,318,52,485,555,553,60,63,276,49,53,319,322,472,329,341,337,371,275,475,68,476,325,54,50,277,64,439,65,278,297,55,69,342,338,480,339,343,531,533,535,299,279,66,300,56,70,497,340,481,537,522,539,541,498,483,598,632
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,124,479,115,106,167,501,96,550,74,133,145,116,107,172,163,104,89,619,75,487,108,164,173,90,71,134,146,488,109,165,72,91,103,174,399,130,117,110,546,400,131,101,552,547,111,422
HighTechResearchProjectOrder	;212,227,364,249,253,446,258,442,188,182,204,219,245,460,198,456,226,262,269,447,259,443,189,183,205,214,199,225,236,238,406,405,206,214,413,237,451,239,454,200,425,191,185,240,287,190,184,201,410
SpecialGovernment	;8
PreferredStartingGovernment	;8
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;21
DefaultSecondaryColor	;11
DefaultFlagDesign	;23
HomeSystemName	;Napurus
TroopStrength	;70
TroopName	;Napoar Droid Battalion
TroopNameArmored	;Napoar Strike Tanks
TroopNamePlanetaryDefense	;Napoar Defense Droids
TroopNameSpecialForces	;Napoar Spec Droids
Resource1Type	;3
Resource1Effect	;2
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;-1
Resource2Effect	;0
Resource2Amount	;0
Resource2AppliesOnlyToSource	;N
Resource3Type	;-1
Resource3Effect	;0
Resource3Amount	;0
Resource3AppliesOnlyToSource	;N
Condition1Type	;44
Condition1Value	;0
Condition1Proportion	;30
Condition1AdditionalData	;0
Condition2Type	;45
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;48
Condition3Value	;0
Condition3Proportion	;30
Condition3AdditionalData	;0
Condition4Type	;24
Condition4Value	;0
Condition4Proportion	;20
Condition4AdditionalData	;22
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;14
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.6
ResearchColonizationCostFactorMarshySwamp	;0.6
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;0.4
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;0.2
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;0.5
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;1.33
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.2
FreeTradeIncomeFactor	;1.1
MigrationFactor	;1.1
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;Y
