'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Naxxilian
PictureIndex	;9
RaceFamily	;3
ReproductionRate	;1.26
Intelligence	;85
Aggression	;121
Caution	;125
Friendliness	;79
Loyalty	;90
DesignsPictureFamilyIndex	;27
DesignNamesIndex	;5
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;60
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;2
TechFocus2	;25
NativePlanetType	;4
SpecialComponent	;-1
WeaponsResearchProjectOrder	;6,51,67,324,330,344,7,52,313,484,314,331,332,53,318,486,328,336,370,8,333,334,54,319,472,527,320,371,275,521,315,55,68,321,528,323,542,335,524,490,69,326,480,281,543,316,56,534,530,532,70,544,496,498,481,473
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,172,157,92,89,75,280,158,134,146,487,108,80,159,173,93,90,488,109,395,139,98,103,174,117,110,396,81,99,140,551,101,111,100,422
HighTechResearchProjectOrder	;212,227,364,188,182,249,253,204,198,219,189,183,262,269,205,213,199,222,228,446,258,442,220,457,458,456,451,406,405,206,214,413,229,245,460,263,224,200,250,628,236,238,191,185,282,435,231,237,454,190,184,201,255,437
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;17
DefaultSecondaryColor	;8
DefaultFlagDesign	;15
HomeSystemName	;Naxxil
TroopStrength	;130
TroopName	;Naxxil Fighting Squad
TroopNameArmored	;Naxxil Battle Mecha
TroopNamePlanetaryDefense	;Naxxil Defense Team
TroopNameSpecialForces	;Naxxil SuperCommandos
Resource1Type	;27
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;38
Resource2Effect	;4
Resource2Amount	;10
Resource2AppliesOnlyToSource	;N
Resource3Type	;7
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;11
Condition1Value	;0
Condition1Proportion	;10
Condition1AdditionalData	;0
Condition2Type	;43
Condition2Value	;25
Condition2Proportion	;10
Condition2AdditionalData	;0
Condition3Type	;2
Condition3Value	;33
Condition3Proportion	;40
Condition3AdditionalData	;5
Condition4Type	;2
Condition4Value	;33
Condition4Proportion	;40
Condition4AdditionalData	;1
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;19
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;2
ResearchColonizationCostFactorIce	;0.25
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1.33
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.8
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.5
FreeTradeIncomeFactor	;0.8
MigrationFactor	;0.7
TroopRegenerationFactor	;0.9
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
