'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Ortain
PictureIndex	;33
RaceFamily	;6
ReproductionRate	;1.21
Intelligence	;95
Aggression	;105
Caution	;130
Friendliness	;85
Loyalty	;85
DesignsPictureFamilyIndex	;26
DesignNamesIndex	;6
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;0
WarWearinessAttenuation	;50
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;3
TechFocus2	;11
NativePlanetType	;2
SpecialComponent	;-1
WeaponsResearchProjectOrder	;293,67,51,324,344,330,304,52,15,318,486,336,370,327,328,305,45,504,16,53,319,472,275,371,320,322,341,337,306,46,17,506,21,54,321,68,325,307,18,47,55,480,69,308,505,70,593,507,56,481,474,473,498,508,509
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,104,172,280,160,92,75,487,108,161,173,134,146,93,162,80,488,109,174,94,397,139,103,117,110,548,398,81,140,401,101,549,111,422
HighTechResearchProjectOrder	;212,227,364,188,182,249,253,245,460,204,219,198,580,189,183,262,269,225,205,213,199,456,451,224,406,405,446,258,442,206,214,413,236,238,191,185,220,200,250,190,184,284,237,454,201
SpecialGovernment	;-1
PreferredStartingGovernment	;5
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1.1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;0
DefaultSecondaryColor	;20
DefaultFlagDesign	;35
HomeSystemName	;Tainerus
TroopStrength	;120
TroopName	;Ortain Destroyer Army
TroopNameArmored	;Ortain Heavy Droids
TroopNamePlanetaryDefense	;Ortain Missile Droids
TroopNameSpecialForces	;Ortain Infiltration Droids
Resource1Type	;16
Resource1Effect	;3
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;7
Resource2Effect	;4
Resource2Amount	;10
Resource2AppliesOnlyToSource	;N
Resource3Type	;-1
Resource3Effect	;0
Resource3Amount	;0
Resource3AppliesOnlyToSource	;N
Condition1Type	;1
Condition1Value	;0
Condition1Proportion	;20
Condition1AdditionalData	;0
Condition2Type	;20
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;49
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;0
Condition4Type	;46
Condition4Value	;0
Condition4Proportion	;40
Condition4AdditionalData	;0
Condition5Type	;45
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;21
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.5
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.1
CharacterRandomAppearanceChanceGeneral	;1.1
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;1
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.95
FreeTradeIncomeFactor	;0.9
MigrationFactor	;0.95
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;Y
