'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Paratis
PictureIndex	;34
RaceFamily	;2
ReproductionRate	;1.21
Intelligence	;110
Aggression	;70
Caution	;120
Friendliness	;100
Loyalty	;100
DesignsPictureFamilyIndex	;14
DesignNamesIndex	;3
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;15
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;10
OverallShipDesignFocus	;2
TechFocus1	;6
TechFocus2	;15
NativePlanetType	;1
SpecialComponent	;-1
WeaponsResearchProjectOrder	;48,51,67,324,330,344,6,568,318,336,327,328,370,7,52,569,486,319,472,3,341,371,45,53,329,337,275,570,46,54,475,4,68,322,511,325,631,70,5,531,47,55,338,526,321,481,606,522,476,512,525,513,56,514
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,172,160,92,75,161,134,146,487,108,93,162,173,80,139,488,109,397,94,103,117,110,398,548,174,81,401,140,101,111,422,549
HighTechResearchProjectOrder	;212,204,227,364,249,253,219,188,182,198,446,258,442,205,213,220,228,189,183,199,245,460,456,214,406,405,224,413,206,447,259,443,236,238,215,191,185,200,237,454,448,190,184,207,221,201,412
SpecialGovernment	;11
PreferredStartingGovernment	;11
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;2
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;16
DefaultSecondaryColor	;8
DefaultFlagDesign	;26
HomeSystemName	;Paratakis
TroopStrength	;85
TroopName	;Paratis Battle Cell
TroopNameArmored	;Paratis Intruder Force
TroopNamePlanetaryDefense	;Paratis Defense Unit
TroopNameSpecialForces	;Paratis Sabotage Team
Resource1Type	;6
Resource1Effect	;5
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;13
Resource2Effect	;4
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;38
Resource3Effect	;1
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;24
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;21
Condition2Type	;19
Condition2Value	;0
Condition2Proportion	;30
Condition2AdditionalData	;0
Condition3Type	;20
Condition3Value	;0
Condition3Proportion	;15
Condition3AdditionalData	;0
Condition4Type	;41
Condition4Value	;0
Condition4Proportion	;30
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;27
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;0.8
CharacterRandomAppearanceChanceIntelligenceAgent	;1.7
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.1
MigrationFactor	;1.15
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
