'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Phaerax
PictureIndex	;26
RaceFamily	;2
ReproductionRate	;1.21
Intelligence	;105
Aggression	;120
Caution	;103
Friendliness	;102
Loyalty	;70
DesignsPictureFamilyIndex	;35
DesignNamesIndex	;3
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;0
WarWearinessAttenuation	;30
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;1
TechFocus2	;25
NativePlanetType	;2
SpecialComponent	;-1
WeaponsResearchProjectOrder	;6,67,51,344,324,330,7,486,313,52,318,336,370,328,327,3,314,472,331,332,45,53,319,527,275,320,329,371,4,68,333,46,54,334,321,528,323,475,315,5,55,47,490,69,281,480,606,524,525,335,530,532,70,481,42,56,316,630,540,473,496,272,498
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,124,96,74,120,133,145,116,107,468,172,160,92,75,161,487,108,280,134,146,162,93,80,488,109,173,397,139,94,103,117,110,81,398,548,101,401,111,140,549,422
HighTechResearchProjectOrder	;212,227,364,249,253,219,188,182,204,198,245,460,225,446,258,442,262,269,189,183,228,224,456,451,205,457,213,406,405,199,263,250,226,206,214,413,236,238,191,185,200,284,433,231,232,237,454,190,184,201
SpecialGovernment	;-1
PreferredStartingGovernment	;5
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;8
DefaultSecondaryColor	;11
DefaultFlagDesign	;30
HomeSystemName	;Phaeros
TroopStrength	;120
TroopName	;Phaerax Wave
TroopNameArmored	;Phaerax Elite Wave
TroopNamePlanetaryDefense	;Phaerax Defense Mechs
TroopNameSpecialForces	;Phaerax Raiders
Resource1Type	;0
Resource1Effect	;2
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;34
Resource2Effect	;1
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;39
Resource3Effect	;4
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;2
Condition1Value	;33
Condition1Proportion	;30
Condition1AdditionalData	;4
Condition2Type	;14
Condition2Value	;1
Condition2Proportion	;10
Condition2AdditionalData	;0
Condition3Type	;3
Condition3Value	;3
Condition3Proportion	;30
Condition3AdditionalData	;4
Condition4Type	;41
Condition4Value	;0
Condition4Proportion	;30
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;25
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.2
CharacterRandomAppearanceChanceGeneral	;1.6
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;0.8
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.9
FreeTradeIncomeFactor	;1
MigrationFactor	;0.9
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
