'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Riktoh
PictureIndex	;28
RaceFamily	;1
ReproductionRate	;1.33
Intelligence	;50
Aggression	;80
Caution	;70
Friendliness	;150
Loyalty	;150
DesignsPictureFamilyIndex	;36
DesignNamesIndex	;12
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;30
WarWearinessAttenuation	;0
SatisfactionModifier	;20
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;20
OverallShipDesignFocus	;1
TechFocus1	;6
TechFocus2	;17
NativePlanetType	;2
SpecialComponent	;133
WeaponsResearchProjectOrder	;67,48,6,51,324,330,344,486,485,7,318,336,370,328,327,472,49,3,52,319,371,275,527,329,68,337,50,4,321,528,475,69,297,53,490,326,480,338,281,299,5,70,300,54,481,339,522,606,632,55,340
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,120,468,167,501,124,574,96,74,133,145,116,107,157,89,75,172,121,158,575,134,146,90,159,469,487,108,71,91,103,173,395,139,488,109,546,72,396,101,117,110,551,140,547,111,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,262,269,245,460,198,225,189,183,205,213,228,456,457,458,199,224,425,446,258,442,406,405,206,214,413,451,236,238,426,220,232,237,454,283,200,191,185,270,263,239,190,184,271,201,410
SpecialGovernment	;9
PreferredStartingGovernment	;9
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.2
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;20
DefaultSecondaryColor	;0
DefaultFlagDesign	;19
HomeSystemName	;Riktokah
TroopStrength	;70
TroopName	;Riktoh Resistance Pack
TroopNameArmored	;Riktoh Mech Pack
TroopNamePlanetaryDefense	;Riktoh AA Mech Pack
TroopNameSpecialForces	;Riktoh Special Air Service
Resource1Type	;14
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;0
Resource2Effect	;3
Resource2Amount	;10
Resource2AppliesOnlyToSource	;N
Resource3Type	;20
Resource3Effect	;10
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;54
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;36
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;55
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;43
Condition4Value	;50
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;24
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;0.8
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.15
FreeTradeIncomeFactor	;1
MigrationFactor	;1.25
TroopRegenerationFactor	;0.8
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
