'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Securan
PictureIndex	;18
RaceFamily	;0
ReproductionRate	;1.3
Intelligence	;100
Aggression	;73
Caution	;92
Friendliness	;110
Loyalty	;125
DesignsPictureFamilyIndex	;11
DesignNamesIndex	;10
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;40
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;4
TechFocus2	;9
NativePlanetType	;2
SpecialComponent	;-1
WeaponsResearchProjectOrder	;33,67,57,51,324,330,344,486,34,553,554,52,318,336,370,472,35,60,63,58,53,275,371,319,68,36,64,59,54,69,480,37,439,65,61,55,327,322,329,337,325,475,70,38,66,62,481,586,56,587,598,597,522,498,499,545
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,124,163,92,89,75,164,172,487,108,104,165,93,90,71,488,109,280,173,399,134,146,98,72,117,110,103,101,400,130,99,174,552,131,100,111,422
HighTechResearchProjectOrder	;212,227,364,249,253,269,245,460,204,219,198,188,182,262,446,258,442,225,456,457,458,189,409,183,205,250,213,228,224,199,232,254,236,238,433,206,214,413,406,405,451,425,233,220,200,237,434,454,282,223,246,461,252,263,191,185,201,259,391,435,190,184,426,392,255,410
SpecialGovernment	;10
PreferredStartingGovernment	;10
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;3
PeriodicChangeLength	;1
PeriodicFactorsGrowth	;1.52
PeriodicFactorsAggression	;73
PeriodicFactorsCaution	;91
PeriodicFactorsFriendliness	;140
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;2
DefaultSecondaryColor	;8
DefaultFlagDesign	;25
HomeSystemName	;Secura
TroopStrength	;70
TroopName	;Securan Assassin
TroopNameArmored	;Securan Mechanized Force
TroopNamePlanetaryDefense	;Securan Repulser Force
TroopNameSpecialForces	;Securan Sniper Team
Resource1Type	;26
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;34
Resource2Effect	;8
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;2
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;43
Condition1Value	;50
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;11
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;6
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;34
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;22
RaceEvent1Frequency	;1.0
RaceEvent2Type	;23
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.5
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;0.6
CharacterRandomAppearanceChanceGeneral	;0.6
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.3
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1.0
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.3
FreeTradeIncomeFactor	;1.0
MigrationFactor	;1.1
TroopRegenerationFactor	;0.9
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
