'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Shakturi
PictureIndex	;20
RaceFamily	;2
ReproductionRate	;1.17
Intelligence	;125
Aggression	;150
Caution	;85
Friendliness	;65
Loyalty	;75
DesignsPictureFamilyIndex	;15
DesignNamesIndex	;13
ShipMaintenanceSavings	;50
TroopMaintenanceSavings	;20
ResourceExtractionBonus	;0
WarWearinessAttenuation	;90
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;0
TechFocus2	;0
NativePlanetType	;2
SpecialComponent	;9
WeaponsResearchProjectOrder	;
EnergyResearchProjectOrder	;
HighTechResearchProjectOrder	;
SpecialGovernment	;7
PreferredStartingGovernment	;7
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;N
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.5
DefaultPrimaryColor	;22
DefaultSecondaryColor	;19
DefaultFlagDesign	;40
HomeSystemName	;Shaktur
TroopStrength	;150
TroopName	;Shakturi Slayer
TroopNameArmored	;Shakturi Armored Slayer
TroopNamePlanetaryDefense	;Shakturi Defender
TroopNameSpecialForces	;Shakturi Assassination Squad
Resource1Type	;-1
Resource1Effect	;0
Resource1Amount	;0
Resource1AppliesOnlyToSource	;N
Resource2Type	;-1
Resource2Effect	;0
Resource2Amount	;0
Resource2AppliesOnlyToSource	;N
Resource3Type	;-1
Resource3Effect	;0
Resource3Amount	;0
Resource3AppliesOnlyToSource	;N
Condition1Type	;0
Condition1Value	;0
Condition1Proportion	;20
Condition1AdditionalData	;0
Condition2Type	;0
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;0
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;0
Condition4Type	;0
Condition4Value	;0
Condition4Proportion	;20
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;0
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1.0
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;0.67
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;0.9
FreeTradeIncomeFactor	;0.8
MigrationFactor	;0.8
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;15
ImmuneToPlagues	;N
