'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Sluken
PictureIndex	;17
RaceFamily	;2
ReproductionRate	;1.23
Intelligence	;100
Aggression	;130
Caution	;103
Friendliness	;85
Loyalty	;82
DesignsPictureFamilyIndex	;38
DesignNamesIndex	;3
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;20
ResourceExtractionBonus	;0
WarWearinessAttenuation	;30
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;1
TechFocus2	;5
NativePlanetType	;1
SpecialComponent	;43
WeaponsResearchProjectOrder	;6,67,51,324,330,344,7,486,12,45,482,52,318,328,336,370,13,46,53,633,319,527,320,472,275,371,14,47,634,68,54,321,528,323,607,525,490,69,480,281,42,55,635,530,532,70,481,523,43,56,272,273,498
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,468,115,106,167,501,96,74,478,145,120,116,107,142,280,160,92,75,172,161,487,108,93,173,146,162,143,488,109,94,80,397,117,110,548,398,144,81,103,101,401,549,111,174,422
HighTechResearchProjectOrder	;212,227,364,188,182,249,253,204,219,198,189,183,228,262,269,220,442,205,213,199,456,451,406,405,229,224,457,245,460,443,446,258,206,214,413,236,238,191,185,250,231,221,190,184,200,237,454,410,373,230,433,263,201
SpecialGovernment	;11
PreferredStartingGovernment	;11
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;15
DefaultSecondaryColor	;8
DefaultFlagDesign	;17
HomeSystemName	;Slukis
TroopStrength	;120
TroopName	;Sluken Terminator
TroopNameArmored	;Sluken Heavy Terminator
TroopNamePlanetaryDefense	;Sluken Repulser
TroopNameSpecialForces	;Sluken HunterKiller
Resource1Type	;12
Resource1Effect	;2
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;21
Resource2Effect	;1
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;28
Resource3Effect	;4
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;2
Condition1Value	;33
Condition1Proportion	;25
Condition1AdditionalData	;2
Condition2Type	;2
Condition2Value	;33
Condition2Proportion	;25
Condition2AdditionalData	;1
Condition3Type	;3
Condition3Value	;3
Condition3Proportion	;25
Condition3AdditionalData	;2
Condition4Type	;40
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;25
RaceEvent1Frequency	;1.0
RaceEvent2Type	;26
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.8
CharacterRandomAppearanceChanceGovernor	;1
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1.6
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.1
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.95
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.0
MigrationFactor	;0.9
TroopRegenerationFactor	;1.05
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
