'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Tairoshan
PictureIndex	;23
RaceFamily	;4
ReproductionRate	;1.26
Intelligence	;90
Aggression	;79
Caution	;61
Friendliness	;140
Loyalty	;130
DesignsPictureFamilyIndex	;33
DesignNamesIndex	;2
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;20
WarWearinessAttenuation	;0
SatisfactionModifier	;20
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;20
OverallShipDesignFocus	;3
TechFocus1	;4
TechFocus2	;17
NativePlanetType	;1
SpecialComponent	;136
WeaponsResearchProjectOrder	;33,67,57,51,324,330,344,486,34,553,554,52,318,336,370,327,328,472,35,63,60,58,53,319,322,329,337,371,275,68,30,59,64,54,325,475,69,31,439,65,61,55,338,480,281,32,66,62,531,339,70,584,56,585,598,597,537,473,498,499,545
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,107,96,74,116,120,468,124,163,133,145,89,75,164,487,108,90,134,146,165,488,109,91,71,399,130,117,110,546,72,400,101,131,103,552,547,111,422
HighTechResearchProjectOrder	;212,227,364,249,253,438,262,269,219,188,182,204,198,581,446,258,442,456,220,189,183,245,460,457,458,205,213,228,447,259,443,224,425,406,405,236,238,582,426,254,191,185,237,454,206,413,214,200,282,246,461,435,201,225,190,184,410,373
SpecialGovernment	;-1
PreferredStartingGovernment	;3
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;12
PeriodicChangeLength	;3
PeriodicFactorsGrowth	;2
PeriodicFactorsAggression	;60
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;9
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;3
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;13
DefaultSecondaryColor	;19
DefaultFlagDesign	;8
HomeSystemName	;Roshar
TroopStrength	;70
TroopName	;Tairoshan Cell
TroopNameArmored	;Tairoshan Invader
TroopNamePlanetaryDefense	;Tairoshan Battery Unit
TroopNameSpecialForces	;Tairoshan Saboteurs
Resource1Type	;14
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;27
Resource2Effect	;1
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;9
Resource3Effect	;7
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;35
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;34
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;48
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;43
Condition4Value	;70
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;23
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;2
CharacterStartingTraitAmbassador	;2
CharacterStartingTraitGovernor	;2
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2.0
ResearchColonizationCostFactorDesert	;3.0
ResearchColonizationCostFactorIce	;1.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1.0
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.1
FreeTradeIncomeFactor	;1.2
MigrationFactor	;1.1
TroopRegenerationFactor	;0.9
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
