'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Tarapin
PictureIndex	;35
RaceFamily	;4
ReproductionRate	;1.26
Intelligence	;90
Aggression	;80
Caution	;100
Friendliness	;128
Loyalty	;102
DesignsPictureFamilyIndex	;37
DesignNamesIndex	;9
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;30
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;15
OverallShipDesignFocus	;0
TechFocus1	;6
TechFocus2	;9
NativePlanetType	;1
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,57,48,51,324,330,344,486,568,533,555,52,569,63,276,60,53,318,336,370,328,327,472,319,64,277,570,54,320,322,371,275,68,439,65,278,631,55,480,69,527,329,56,66,279,70,481,598,483,498,273
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,124,116,107,96,74,133,145,120,468,157,92,89,75,158,487,108,134,146,159,93,90,71,395,488,109,130,98,396,72,103,99,117,110,551,101,100,131,111,422
HighTechResearchProjectOrder	;212,227,364,249,253,262,269,188,182,204,219,198,245,460,456,220,446,258,442,189,183,205,213,199,457,458,224,236,238,425,451,254,406,405,282,222,237,454,435,410,191,185,206,214,413,200,190,184,373,201
SpecialGovernment	;-1
PreferredStartingGovernment	;4
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;0.9
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.15
DefaultPrimaryColor	;6
DefaultSecondaryColor	;9
DefaultFlagDesign	;32
HomeSystemName	;Taroshar
TroopStrength	;75
TroopName	;Tarapin Regulars
TroopNameArmored	;Tarapin War Tanks
TroopNamePlanetaryDefense	;Tarapin Interceptor Unit
TroopNameSpecialForces	;Tarapin Sappers
Resource1Type	;33
Resource1Effect	;1
Resource1Amount	;10
Resource1AppliesOnlyToSource	;N
Resource2Type	;24
Resource2Effect	;1
Resource2Amount	;10
Resource2AppliesOnlyToSource	;N
Resource3Type	;29
Resource3Effect	;10
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;34
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;6
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;2
Condition3Value	;33
Condition3Proportion	;25
Condition3AdditionalData	;2
Condition4Type	;58
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;4
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.4
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;0.8
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2.0
ResearchColonizationCostFactorDesert	;3.0
ResearchColonizationCostFactorIce	;1.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1.0
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.25
FreeTradeIncomeFactor	;1
MigrationFactor	;1.1
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
