'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Teekan
PictureIndex	;11
RaceFamily	;5
ReproductionRate	;1.26
Intelligence	;85
Aggression	;65
Caution	;71
Friendliness	;137
Loyalty	;142
DesignsPictureFamilyIndex	;43
DesignNamesIndex	;12
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;30
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;20
OverallShipDesignFocus	;0
TechFocus1	;6
TechFocus2	;17
NativePlanetType	;2
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,48,330,344,324,51,486,485,15,318,336,370,327,52,49,504,16,53,319,322,472,329,341,371,275,50,17,506,54,475,68,325,297,18,55,342,69,299,505,56,531,480,70,300,507,498,522,632,508,509,537
EnergyResearchProjectOrder	;95,123,105,363,166,465,477,479,115,106,120,468,167,501,124,107,96,74,116,163,133,145,89,172,164,487,108,104,90,75,165,134,146,121,469,488,109,91,71,173,399,130,117,110,103,72,400,546,131,101,174,552,547,122,470,111,422
HighTechResearchProjectOrder	;212,227,188,182,204,198,364,249,253,219,262,269,425,389,451,225,205,213,189,183,456,228,426,438,245,460,446,258,442,224,457,458,199,283,232,406,405,214,206,413,236,238,233,191,185,237,454,220,200,270,190,184,239,410,271,428,240,201
SpecialGovernment	;9
PreferredStartingGovernment	;9
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.2
ShipSizeFactorMilitary	;0.8
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;12
DefaultSecondaryColor	;9
DefaultFlagDesign	;29
HomeSystemName	;Teeka
TroopStrength	;60
TroopName	;Teekan Trapper Group
TroopNameArmored	;Teekan Armored Attacker
TroopNamePlanetaryDefense	;Teekan Defense Unit
TroopNameSpecialForces	;Teekan Hunting Squad
Resource1Type	;9
Resource1Effect	;2
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;32
Resource2Effect	;10
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;-1
Resource3Effect	;0
Resource3Amount	;0
Resource3AppliesOnlyToSource	;N
Condition1Type	;35
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;36
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;16
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;3
Condition4Type	;44
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;0
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.1
FreeTradeIncomeFactor	;1.2
MigrationFactor	;1.2
TroopRegenerationFactor	;0.9
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
