'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Ugnari
PictureIndex	;15
RaceFamily	;5
ReproductionRate	;1.3
Intelligence	;80
Aggression	;80
Caution	;90
Friendliness	;150
Loyalty	;100
DesignsPictureFamilyIndex	;34
DesignNamesIndex	;2
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;30
WarWearinessAttenuation	;0
SatisfactionModifier	;10
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;20
OverallShipDesignFocus	;0
TechFocus1	;2
TechFocus2	;19
NativePlanetType	;4
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,6,51,324,330,57,344,7,52,318,336,370,313,486,290,314,53,319,472,320,371,301,68,275,327,328,321,325,302,54,553,554,315,69,329,480,303,322,323,337,341,55,316,481,528,490,272,475,476,70,56,522
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,120,468,124,116,107,96,74,157,133,145,89,172,158,487,108,104,90,75,159,134,146,121,469,488,109,91,80,173,395,130,550,117,110,103,81,396,131,546,101,174,551,122,470,111,547,422
HighTechResearchProjectOrder	;212,227,188,182,204,198,364,249,253,262,269,219,425,451,222,205,213,194,183,456,228,426,438,245,460,446,258,442,224,457,458,199,283,232,195,405,214,206,413,236,238,196,185,237,454,220,200,208,270,190,184,197,239,414,410,271,428,201
SpecialGovernment	;9
PreferredStartingGovernment	;9
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.2
ShipSizeFactorMilitary	;0.8
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;18
DefaultSecondaryColor	;11
DefaultFlagDesign	;11
HomeSystemName	;Ugnar
TroopStrength	;65
TroopName	;Ugnari WarBot
TroopNameArmored	;Ugnari MegaBot
TroopNamePlanetaryDefense	;Ugnari Bombardment Force
TroopNameSpecialForces	;Ugnari Recon Group
Resource1Type	;31
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;11
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;7
Resource3Effect	;7
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;35
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;32
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;3
Condition3Type	;2
Condition3Value	;33
Condition3Proportion	;25
Condition3AdditionalData	;5
Condition4Type	;10
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;27
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.8
CharacterRandomAppearanceChanceGovernor	;1.0
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;1
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;2
ResearchColonizationCostFactorIce	;0.25
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.33
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;5
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.25
MigrationFactor	;1.1
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;3
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
