'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Visareen
PictureIndex	;27
RaceFamily	;1
ReproductionRate	;1.26
Intelligence	;90
Aggression	;90
Caution	;116
Friendliness	;90
Loyalty	;114
DesignsPictureFamilyIndex	;40
DesignNamesIndex	;5
ShipMaintenanceSavings	;20
TroopMaintenanceSavings	;20
ResourceExtractionBonus	;0
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;6
TechFocus2	;15
NativePlanetType	;1
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,48,51,6,330,324,344,485,7,52,49,318,290,328,327,336,370,486,50,53,291,319,527,329,337,341,472,371,528,490,297,68,275,320,322,511,475,54,299,292,513,69,321,323,480,300,325,512,608,70,55,526,482,537,522,56,481,514
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,133,116,107,96,74,145,160,172,92,487,108,161,75,93,134,146,162,488,109,80,94,103,397,173,139,117,110,398,548,101,81,140,401,174,111,549,422
HighTechResearchProjectOrder	;212,227,364,249,253,262,269,188,182,204,198,219,456,457,458,189,183,451,228,409,220,205,213,245,460,446,258,442,199,224,406,405,206,413,214,254,236,232,250,238,200,443,263,237,233,454,223,191,433,185,222,434,282,252,201,391,392
SpecialGovernment	;-1
PreferredStartingGovernment	;2
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.2
DefaultPrimaryColor	;16
DefaultSecondaryColor	;7
DefaultFlagDesign	;27
HomeSystemName	;Visara
TroopStrength	;100
TroopName	;Visareen Royal Guard
TroopNameArmored	;Visareen Royal Armored
TroopNamePlanetaryDefense	;Visareen Royal Battery
TroopNameSpecialForces	;Visareen Royal Commando
Resource1Type	;27
Resource1Effect	;8
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;17
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;6
Resource3Effect	;4
Resource3Amount	;10
Resource3AppliesOnlyToSource	;Y
Condition1Type	;2
Condition1Value	;33
Condition1Proportion	;25
Condition1AdditionalData	;2
Condition2Type	;25
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;38
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;44
Condition4Value	;0
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;21
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;0
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.5
CharacterRandomAppearanceChanceAdmiral	;1.0
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1.0
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;0.25
ResearchColonizationCostFactorOcean	;2
ResearchColonizationCostFactorDesert	;3
ResearchColonizationCostFactorIce	;1
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1.33
ColonyConstructionSpeedFactorOcean	;1
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.1
FreeTradeIncomeFactor	;1
MigrationFactor	;1
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
