'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Wekkarus
PictureIndex	;12
RaceFamily	;4
ReproductionRate	;1.21
Intelligence	;100
Aggression	;80
Caution	;139
Friendliness	;91
Loyalty	;90
DesignsPictureFamilyIndex	;1
DesignNamesIndex	;11
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;15
ResourceExtractionBonus	;15
WarWearinessAttenuation	;0
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;10
TradeBonus	;10
OverallShipDesignFocus	;1
TechFocus1	;1
TechFocus2	;11
NativePlanetType	;3
SpecialComponent	;4
WeaponsResearchProjectOrder	;67,6,51,324,330,344,0,52,482,318,328,327,336,486,370,1,319,320,633,322,527,329,341,472,371,2,52,634,68,275,528,490,321,325,480,595,69,272,53,70,635,522,54,481,55,522
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,120,468,133,145,116,107,96,74,172,157,487,108,92,75,280,158,134,146,173,93,71,159,488,109,94,72,139,395,103,117,110,396,140,89,90,98,551,99,101,111,289,422,100
HighTechResearchProjectOrder	;212,227,364,249,253,262,269,188,182,204,219,198,425,451,456,221,446,258,442,189,183,213,205,228,457,458,199,220,236,238,406,405,263,426,245,460,443,283,237,454,191,185,224,206,214,413,200,270,410,374,190,184,201
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1
DefaultPrimaryColor	;7
DefaultSecondaryColor	;12
DefaultFlagDesign	;20
HomeSystemName	;Wekkaru
TroopStrength	;80
TroopName	;Wekkaru Guardian
TroopNameArmored	;Wekkaru Invader
TroopNamePlanetaryDefense	;Wekkaru Battery Unit
TroopNameSpecialForces	;Wekkaru Saboteurs
Resource1Type	;28
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;3
Resource2Effect	;2
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;13
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;48
Condition1Value	;0
Condition1Proportion	;20
Condition1AdditionalData	;0
Condition2Type	;1
Condition2Value	;0
Condition2Proportion	;20
Condition2AdditionalData	;0
Condition3Type	;24
Condition3Value	;0
Condition3Proportion	;20
Condition3AdditionalData	;24
Condition4Type	;55
Condition4Value	;0
Condition4Proportion	;20
Condition4AdditionalData	;0
Condition5Type	;35
Condition5Value	;0
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;2
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1
CharacterRandomAppearanceChanceAmbassador	;1.0
CharacterRandomAppearanceChanceGovernor	;1.2
CharacterRandomAppearanceChanceAdmiral	;0.8
CharacterRandomAppearanceChanceGeneral	;0.8
CharacterRandomAppearanceChanceScientist	;1.2
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;2
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;0.25
ResearchColonizationCostFactorDesert	;3.0
ResearchColonizationCostFactorIce	;1.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;1.33
ColonyConstructionSpeedFactorDesert	;0.67
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;3
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1.0
MigrationFactor	;1.0
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;48
ImmuneToPlagues	;N
