'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;XHuman
PictureIndex	;32
RaceFamily	;0
ReproductionRate	;1.21
Intelligence	;100
Aggression	;115
Caution	;75
Friendliness	;110
Loyalty	;100
DesignsPictureFamilyIndex	;39
DesignNamesIndex	;0
ShipMaintenanceSavings	;0
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;20
WarWearinessAttenuation	;0
SatisfactionModifier	;5
ResearchBonus	;10
EspionageBonus	;20
TradeBonus	;0
OverallShipDesignFocus	;1
TechFocus1	;26
TechFocus2	;7
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;346,22,624,67,6,324,330,344,347,23,7,309,318,336,328,327,370,348,24,484,355,486,320,322,349,472,8,319,337,341,371,356,25,310,68,275,321,325,352,521,357,311,625,528,490,69,26,353,350,542,358,312,274,70,543,636,480,354,522,626,544,627
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,133,145,167,501,116,107,96,74,157,172,487,108,280,158,89,75,173,488,109,159,134,146,90,71,395,91,72,117,110,139,396,546,103,101,551,140,111,547,174,422
HighTechResearchProjectOrder	;212,204,227,364,249,253,219,188,182,198,446,258,442,205,213,224,228,189,183,199,245,460,456,457,458,214,406,405,220,413,206,447,259,443,236,238,215,250,254,191,185,200,282,237,454,190,184,207,284,221,433,435,201,410
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.0
ShipSizeFactorMilitary	;1.0
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;1
ConstructionSpeedFactor	;1.0
DefaultPrimaryColor	;10
DefaultSecondaryColor	;20
DefaultFlagDesign	;4
HomeSystemName	;Relakis
TroopStrength	;110
TroopName	;XHuman Trooper Battalion
TroopNameArmored	;XHuman Mechanised Attack Force
TroopNamePlanetaryDefense	;XHuman Missile Defense
TroopNameSpecialForces	;XHuman SpecOps Team
Resource1Type	;40
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;0
Resource2Effect	;4
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;14
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;35
Condition1Value	;0
Condition1Proportion	;15
Condition1AdditionalData	;0
Condition2Type	;34
Condition2Value	;0
Condition2Proportion	;15
Condition2AdditionalData	;0
Condition3Type	;42
Condition3Value	;15
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;2
Condition4Value	;33
Condition4Proportion	;25
Condition4AdditionalData	;1
Condition5Type	;14
Condition5Value	;1
Condition5Proportion	;20
Condition5AdditionalData	;0
RaceEvent1Type	;13
RaceEvent1Frequency	;1.0
RaceEvent2Type	;0
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;1.3
CharacterRandomAppearanceChanceGovernor	;1.3
CharacterRandomAppearanceChanceAdmiral	;0.8
CharacterRandomAppearanceChanceGeneral	;0.8
CharacterRandomAppearanceChanceScientist	;1.15
CharacterRandomAppearanceChanceIntelligenceAgent	;1.3
CharacterRandomAppearanceChanceShipCaptain	;1.0
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;1
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.05
FreeTradeIncomeFactor	;1.0
MigrationFactor	;1.1
TroopRegenerationFactor	;0.85
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;47
ImmuneToPlagues	;N
