'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Ylta
PictureIndex	;39
RaceFamily	;7
ReproductionRate	;1.23
Intelligence	;95
Aggression	;115
Caution	;100
Friendliness	;105
Loyalty	;85
DesignsPictureFamilyIndex	;44
DesignNamesIndex	;5
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;10
ResourceExtractionBonus	;10
WarWearinessAttenuation	;10
SatisfactionModifier	;0
ResearchBonus	;0
EspionageBonus	;10
TradeBonus	;0
OverallShipDesignFocus	;3
TechFocus1	;1
TechFocus2	;9
NativePlanetType	;0
SpecialComponent	;-1
WeaponsResearchProjectOrder	;6,556,67,51,324,330,344,7,559,560,52,486,318,336,370,3,557,45,53,472,341,319,320,527,371,4,561,562,46,54,68,275,321,528,490,12,322,13,9,558,47,55,69,480,10,563,564,11,598,483,597,525,56,637,272,481,522
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,116,107,96,74,133,145,172,163,487,108,89,75,164,488,109,90,80,173,165,134,146,91,81,399,117,110,130,400,546,103,101,552,131,111,547,174,422
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,245,460,198,446,258,442,262,269,456,224,189,183,205,213,199,228,457,447,259,443,220,425,451,406,405,206,214,413,236,238,429,225,191,185,411,200,237,454,190,184,410,201
SpecialGovernment	;17
PreferredStartingGovernment	;17
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;1.1
ShipSizeFactorMilitary	;1.1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;17
DefaultSecondaryColor	;3
DefaultFlagDesign	;28
HomeSystemName	;Yl'tak
TroopStrength	;90
TroopName	;Yl'tish Battleflock
TroopNameArmored	;Yl'tish Mech Wing
TroopNamePlanetaryDefense	;Yl'tish Artillery Wing
TroopNameSpecialForces	;Yl'tish Scout Flock
Resource1Type	;20
Resource1Effect	;1
Resource1Amount	;10
Resource1AppliesOnlyToSource	;N
Resource2Type	;19
Resource2Effect	;8
Resource2Amount	;15
Resource2AppliesOnlyToSource	;N
Resource3Type	;35
Resource3Effect	;10
Resource3Amount	;20
Resource3AppliesOnlyToSource	;N
Condition1Type	;52
Condition1Value	;0
Condition1Proportion	;25
Condition1AdditionalData	;0
Condition2Type	;4
Condition2Value	;0
Condition2Proportion	;25
Condition2AdditionalData	;0
Condition3Type	;8
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;37
Condition4Value	;1
Condition4Proportion	;25
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;14
RaceEvent1Frequency	;0.7
RaceEvent2Type	;25
RaceEvent2Frequency	;0.7
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.8
CharacterRandomAppearanceChanceGovernor	;0.8
CharacterRandomAppearanceChanceAdmiral	;1
CharacterRandomAppearanceChanceGeneral	;1.1
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.2
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;53
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.25
ResearchColonizationCostFactorMarshySwamp	;0.5
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;1.0
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.33
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.0
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;0.8
MigrationFactor	;1.1
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;2
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
