'Distant Worlds Race file - 1.9.5.0 - Modded by the Distant Worlds Mod Editor by Sabranan

Name	;Yor
PictureIndex	;37
RaceFamily	;2
ReproductionRate	;1.21
Intelligence	;105
Aggression	;140
Caution	;52
Friendliness	;98
Loyalty	;105
DesignsPictureFamilyIndex	;45
DesignNamesIndex	;3
ShipMaintenanceSavings	;20
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;0
WarWearinessAttenuation	;20
SatisfactionModifier	;0
ResearchBonus	;10
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;2
TechFocus1	;2
TechFocus2	;5
NativePlanetType	;2
SpecialComponent	;129
WeaponsResearchProjectOrder	;67,6,51,324,330,344,57,565,52,318,336,370,486,328,566,53,319,472,341,337,527,320,371,45,567,68,275,46,54,528,490,323,596,553,69,281,555,480,55,47,530,532,321,325,272,70,481,522,56,536,538,498,273
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,160,172,92,75,161,487,108,280,93,80,134,162,146,173,488,109,397,94,81,139,117,110,398,548,103,101,401,140,111,549,422,174
HighTechResearchProjectOrder	;212,227,364,249,253,188,182,204,219,198,225,262,189,183,456,457,458,451,228,205,213,224,406,405,199,446,258,442,263,236,238,206,214,413,229,191,185,220,200,250,237,454,190,184,231,201,410
SpecialGovernment	;-1
PreferredStartingGovernment	;5
DisallowedGovernments	;3, 4
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;Y
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;13
DefaultSecondaryColor	;4
DefaultFlagDesign	;9
HomeSystemName	;Yoran
TroopStrength	;110
TroopName	;Yor Exterminators
TroopNameArmored	;Yor Heavy Exterminators
TroopNamePlanetaryDefense	;Yor Rocket Unit
TroopNameSpecialForces	;Yor Exterminator SpecForce
Resource1Type	;6
Resource1Effect	;4
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;0
Resource2Effect	;3
Resource2Amount	;10
Resource2AppliesOnlyToSource	;Y
Resource3Type	;3
Resource3Effect	;3
Resource3Amount	;10
Resource3AppliesOnlyToSource	;Y
Condition1Type	;12
Condition1Value	;0
Condition1Proportion	;30
Condition1AdditionalData	;0
Condition2Type	;3
Condition2Value	;3
Condition2Proportion	;25
Condition2AdditionalData	;4
Condition3Type	;21
Condition3Value	;0
Condition3Proportion	;25
Condition3AdditionalData	;0
Condition4Type	;37
Condition4Value	;1
Condition4Proportion	;20
Condition4AdditionalData	;0
Condition5Type	;0
Condition5Value	;0
Condition5Proportion	;0
Condition5AdditionalData	;0
RaceEvent1Type	;25
RaceEvent1Frequency	;1
RaceEvent2Type	;7
RaceEvent2Frequency	;1
CharacterRandomAppearanceChanceLeader	;1.0
CharacterRandomAppearanceChanceAmbassador	;0.9
CharacterRandomAppearanceChanceGovernor	;0.9
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1
CharacterRandomAppearanceChanceScientist	;0.9
CharacterRandomAppearanceChanceIntelligenceAgent	;1.0
CharacterRandomAppearanceChanceShipCaptain	;1
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3.0
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2.0
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1
ColonyConstructionSpeedFactorMarshySwamp	;1.0
ColonyConstructionSpeedFactorOcean	;0.67
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;1.0
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;1.0
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1.0
FreeTradeIncomeFactor	;1
MigrationFactor	;1
TroopRegenerationFactor	;1.0
PirateDefaultPlaystyle	;1
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
