Name	;Zakkal
PictureIndex	;40
RaceFamily	;0
ReproductionRate	;1.17
Intelligence	;105
Aggression	;110
Caution	;90
Friendliness	;130
Loyalty	;65
DesignsPictureFamilyIndex	;29
DesignNamesIndex	;0
ShipMaintenanceSavings	;10
TroopMaintenanceSavings	;0
ResourceExtractionBonus	;10
WarWearinessAttenuation	;10
SatisfactionModifier	;10
ResearchBonus	;10
EspionageBonus	;0
TradeBonus	;0
OverallShipDesignFocus	;0
TechFocus1	;3
TechFocus2	;9
NativePlanetType	;2
SpecialComponent	;-1
WeaponsResearchProjectOrder	;67,293,51,57,22,346,324,330,344,486,294,52,553,554,23,309,328,318,327,336,370,472,295,53,60,24,355,319,320,329,371,275,68,296,54,64,59,25,356,69,590,55,439,357,480,591,66,62,26,358,70,592,56,481,474,498,598,597,274,473
EnergyResearchProjectOrder	;123,95,105,363,166,465,477,479,115,106,167,501,96,74,133,145,116,107,172,89,163,75,92,487,108,280,134,164,146,173,90,93,488,165,71,130,109,98,103,399,131,117,110,99,400,101,72,552,111,100,422
HighTechResearchProjectOrder	;212,227,364,249,253,262,269,219,245,460,188,182,204,198,456,425,228,225,446,258,442,457,458,189,183,236,238,426,224,250,213,205,199,451,406,405,206,214,413,284,191,185,200,283,220,190,184,237,454,201,410
SpecialGovernment	;-1
PreferredStartingGovernment	;-1
DisallowedGovernments	;
CanChangeGovernment	;Y
Expanding	;Y
CanBePirate	;N
CanBeNormalEmpire	;Y
Playable	;Y
PeriodicChangeInterval	;0
PeriodicChangeLength	;0
PeriodicFactorsGrowth	;1.0
PeriodicFactorsAggression	;100
PeriodicFactorsCaution	;100
PeriodicFactorsFriendliness	;100
PeriodicChangeCycleEvent	;0
ShipSizeFactorCivilian	;0.9
ShipSizeFactorMilitary	;1.1
DisallowedResearchArea1	;0
DisallowedResearchArea2	;0
DisallowedResearchArea3	;0
DisallowedComponentIds	;
AdditionalIntelligenceAgents	;0
ConstructionSpeedFactor	;1.1
DefaultPrimaryColor	;1
DefaultSecondaryColor	;8
DefaultFlagDesign	;41
HomeSystemName	;Hiigara
TroopStrength	;115
TroopName	;Infantry Battalion
TroopNameArmored	;Armored Division
TroopNamePlanetaryDefense	;Security Force
TroopNameSpecialForces	;Marine
Resource1Type	;40
Resource1Effect	;1
Resource1Amount	;5
Resource1AppliesOnlyToSource	;N
Resource2Type	;0
Resource2Effect	;4
Resource2Amount	;5
Resource2AppliesOnlyToSource	;N
Resource3Type	;14
Resource3Effect	;2
Resource3Amount	;5
Resource3AppliesOnlyToSource	;N
Condition1Type	;1
Condition1Value	;0
Condition1Proportion	;30
Condition1AdditionalData	;0
Condition2Type	;3
Condition2Value	;1
Condition2Proportion	;20
Condition2AdditionalData	;1
Condition3Type	;3
Condition3Value	;1
Condition3Proportion	;25
Condition3AdditionalData	;4
Condition4Type	;2
Condition4Value	;25
Condition4Proportion	;25
Condition4AdditionalData	;1
Condition5Type	;2
Condition5Value	;25
Condition5Proportion	;0
Condition5AdditionalData	;4
RaceEvent1Type	;13
RaceEvent1Frequency	;1.0
RaceEvent2Type	;17
RaceEvent2Frequency	;1.0
CharacterRandomAppearanceChanceLeader	;0.25
CharacterRandomAppearanceChanceAmbassador	;1
CharacterRandomAppearanceChanceGovernor	;1.3
CharacterRandomAppearanceChanceAdmiral	;1.3
CharacterRandomAppearanceChanceGeneral	;1.0
CharacterRandomAppearanceChanceScientist	;1
CharacterRandomAppearanceChanceIntelligenceAgent	;1
CharacterRandomAppearanceChanceShipCaptain	;1.3
CharacterRandomAppearanceChancePirateLeader	;1.0
CharacterStartingTraitLeader	;0
CharacterStartingTraitAmbassador	;0
CharacterStartingTraitGovernor	;0
CharacterStartingTraitAdmiral	;0
CharacterStartingTraitGeneral	;0
CharacterStartingTraitScientist	;0
CharacterStartingTraitIntelligenceAgent	;0
CharacterStartingTraitShipCaptain	;0
CharacterStartingTraitPirateLeader	;0
ResearchColonizationCostFactorContinental	;0.5
ResearchColonizationCostFactorMarshySwamp	;1
ResearchColonizationCostFactorOcean	;3
ResearchColonizationCostFactorDesert	;0.25
ResearchColonizationCostFactorIce	;2
ResearchColonizationCostFactorVolcanic	;4.0
ColonyConstructionSpeedFactorContinental	;1.0
ColonyConstructionSpeedFactorMarshySwamp	;1
ColonyConstructionSpeedFactorOcean	;1.0
ColonyConstructionSpeedFactorDesert	;1.33
ColonyConstructionSpeedFactorIce	;0.67
ColonyConstructionSpeedFactorVolcanic	;0.5
ColonyPopulationPolicyGrowthFactorExterminate	;1.0
ImmuneNaturalDisastersAtColonyType	;0
SpaceportArmorStrengthFactor	;0.85
KnownStartingGalacticHistoryLocations	;0
TourismIncomeFactor	;1
FreeTradeIncomeFactor	;1
MigrationFactor	;1
TroopRegenerationFactor	;1
PirateDefaultPlaystyle	;0
DesignsPictureFamilyIndexPirates	;49
ImmuneToPlagues	;N
